fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,5.5,3.7,-0.1,-1.7,71.2,74.8,87.4,89.2,7.0,12.8,17.4,17.4,1028.1
3,5.6,3.9,0.1,-1.7,61.0,63.3,72.2,75.0,5.6,10.5,13.8,13.8,1028.7
6,4.9,3.3,-0.5,-2.3,50.4,52.0,61.3,65.4,4.6,8.3,11.3,11.3,1028.9
9,3.1,2.1,-1.5,-3.2,52.6,50.3,55.6,55.5,4.6,9.3,12.9,12.9,1029.4
12,3.3,1.2,-1.8,-3.4,51.8,49.4,49.6,46.7,3.3,6.6,9.5,9.5,1029.9
15,6.8,3.5,-0.6,-2.8,35.5,36.1,45.3,50.4,4.1,5.7,6.4,6.4,1029.3
18,8.7,5.9,1.7,-0.5,33.8,33.0,41.3,46.6,4.3,6.0,6.7,6.7,1026.5
21,7.0,6.6,2.6,0.6,42.7,34.7,41.2,44.5,2.4,5.6,6.9,6.9,1025.9
24,3.8,6.4,2.8,1.0,61.1,35.8,39.1,38.3,2.5,5.4,8.3,8.3,1025.8
27,2.9,6.3,3.1,1.3,68.6,36.9,37.2,37.4,2.4,5.4,8.4,8.4,1026.7
30,2.8,6.4,3.7,1.9,69.4,38.4,36.7,38.3,2.2,6.8,8.4,8.4,1025.9
33,3.0,6.0,4.4,2.7,68.1,42.1,33.6,35.2,2.2,7.2,10.0,10.0,1024.8
36,5.4,5.6,4.5,2.9,64.1,44.4,30.9,30.5,3.1,8.4,11.7,11.7,1025.5
39,11.0,8.4,4.3,3.1,37.4,37.6,40.2,30.2,5.4,7.9,10.8,10.8,1024.3
42,12.8,10.8,6.5,4.4,33.2,31.0,38.1,42.0,6.0,8.6,10.2,10.2,1021.1
