fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,18.9,23.9,21.7,19.7,69.6,43.7,37.7,39.7,1.8,3.7,5.2,5.2,1016.0,288,20
3,17.1,22.3,21.4,19.5,75.0,47.6,36.9,38.2,2.9,4.6,6.6,6.6,1017.4,288,23
6,15.5,20.9,21.0,19.2,81.8,51.9,38.3,38.8,2.8,4.2,7.9,7.9,1017.8,289,2
9,14.6,19.5,20.3,18.6,85.5,59.6,42.7,42.8,3.0,3.7,8.5,8.5,1018.3,289,5
12,17.9,18.8,19.5,18.1,79.0,63.7,47.7,46.8,1.9,3.1,5.9,5.9,1019.9,289,8
15,24.1,22.0,19.4,18.0,57.8,60.2,51.0,48.1,0.3,0.4,2.7,2.7,1019.8,289,11
18,26.2,24.6,20.3,18.2,44.5,43.9,52.2,56.0,1.8,1.9,2.3,2.3,1018.2,289,14
21,23.2,24.5,20.6,18.4,62.6,43.3,47.1,50.6,3.1,3.1,2.9,2.9,1018.3,289,17
24,18.8,23.2,19.9,17.8,69.2,43.5,46.4,50.0,3.9,6.5,5.7,5.7,1019.6,289,20
27,16.7,21.9,19.3,17.5,73.7,43.4,41.8,41.8,4.1,6.8,5.8,5.8,1020.5,289,23
30,14.9,20.4,19.0,17.2,79.5,45.4,36.5,34.9,4.2,6.3,6.8,6.8,1020.5,290,2
33,13.6,19.3,18.7,17.1,82.5,46.2,31.6,27.3,3.4,5.4,6.1,6.1,1020.0,290,5
36,16.9,18.5,18.8,17.3,73.2,49.0,26.1,22.7,3.2,6.0,6.7,6.7,1021.7,290,8
39,23.7,21.4,19.3,17.7,49.0,49.5,23.0,21.7,3.5,4.6,7.9,7.9,1021.4,290,11
42,25.7,24.1,19.8,17.7,35.9,33.4,38.7,38.1,4.9,5.8,7.2,7.2,1018.4,290,14
