fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,10.8,12.2,9.4,7.5,69.6,59.0,65.5,71.5,4.4,11.9,13.0,13.0,1030.1
3,9.9,10.6,9.0,7.4,73.5,67.0,67.1,71.1,4.9,12.2,14.9,14.9,1030.2
6,8.7,9.2,8.9,7.7,81.6,75.5,67.5,68.9,4.5,11.5,13.2,13.2,1029.3
9,7.5,8.5,8.7,7.8,89.4,80.6,67.4,67.2,3.4,10.2,11.1,11.1,1028.6
12,8.4,8.3,8.8,7.9,87.0,83.4,68.3,68.0,3.5,9.6,9.0,9.0,1029.4
15,14.3,11.3,9.4,8.5,66.6,75.6,69.6,67.4,3.4,5.3,6.9,6.9,1028.8
18,17.1,14.7,10.7,9.1,56.7,61.1,72.2,71.4,2.2,3.0,2.9,2.9,1025.9
21,14.2,15.2,11.4,9.6,70.4,60.4,70.2,71.1,0.4,2.2,3.8,3.8,1025.3
24,11.2,14.4,11.4,9.7,84.4,67.2,73.7,73.1,2.3,4.3,5.7,5.7,1025.8
27,9.7,12.9,11.4,9.7,91.6,77.1,78.6,77.9,2.5,5.5,4.1,4.1,1025.8
30,8.5,12.2,11.6,10.2,95.3,81.6,75.6,67.9,1.4,0.9,1.2,1.2,1025.2
33,7.2,11.6,11.3,10.3,97.8,83.7,72.2,62.5,2.3,2.2,1.8,1.8,1024.7
36,8.3,11.0,10.6,9.9,95.2,85.5,74.6,60.8,1.2,2.8,3.9,3.9,1025.6
39,14.8,12.2,10.2,9.4,73.8,82.5,79.0,61.3,1.6,2.2,4.1,4.1,1025.0
42,17.2,15.0,10.9,9.0,57.8,62.5,75.3,74.3,3.1,4.3,4.8,4.8,1022.5
