fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,13.3,17.4,13.7,11.7,66.4,37.5,43.1,47.1,2.4,2.7,3.3,3.3,1025.4,294,20
3,11.9,16.6,13.3,11.6,73.1,41.1,44.2,44.6,3.9,4.8,4.0,4.0,1024.9,294,23
6,11.0,15.9,13.1,11.7,78.2,45.9,45.4,43.4,2.2,3.1,3.3,3.3,1023.7,295,2
9,10.3,15.0,13.0,11.7,83.3,51.8,47.9,44.9,2.6,3.6,3.3,3.3,1023.1,295,5
12,13.6,14.7,13.2,11.9,74.5,55.9,48.2,45.0,2.3,3.3,2.2,2.2,1024.4,295,8
15,19.8,17.2,13.6,12.2,50.5,53.4,51.7,46.1,1.2,1.1,1.6,1.6,1023.7,295,11
18,21.7,19.6,15.3,13.1,41.0,41.1,50.3,55.5,0.4,0.2,0.7,0.7,1021.3,295,14
21,19.3,19.8,15.7,13.6,57.1,40.2,48.8,53.5,1.4,1.8,0.4,0.4,1021.1,295,17
24,14.8,19.1,15.4,13.4,69.8,43.3,49.6,52.5,2.6,2.4,0.7,0.7,1022.0,295,20
27,13.0,18.5,15.2,13.3,78.9,46.7,49.7,50.8,1.6,1.6,1.6,1.6,1022.3,295,23
30,11.9,17.7,15.0,13.3,83.5,50.3,50.0,48.3,1.5,2.0,1.7,1.7,1021.8,296,2
33,11.2,17.0,14.8,13.2,86.8,53.1,49.3,43.4,1.3,1.7,1.5,1.5,1022.0,296,5
36,14.2,16.6,14.6,13.3,79.9,55.4,48.3,39.3,2.0,3.0,1.0,1.0,1023.0,296,8
39,21.2,18.8,14.8,13.8,49.0,50.7,52.8,36.1,2.1,2.4,2.2,2.2,1022.3,296,11
42,23.0,21.1,16.8,14.6,41.0,41.2,49.9,53.5,2.6,2.5,2.7,2.7,1019.3,296,14
