fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,7.7,7.5,5.4,4.7,91.2,89.2,93.0,92.7,1.6,4.5,5.2,5.2,1023.9,38,20
3,6.8,7.2,5.3,4.4,93.8,87.6,90.4,93.6,2.6,5.6,5.7,5.7,1024.7,38,23
6,6.7,6.8,5.1,4.1,89.7,84.4,86.4,90.6,3.2,6.2,6.6,6.6,1024.5,39,2
9,6.5,5.9,4.9,4.2,85.3,84.4,82.2,84.7,3.9,8.3,8.9,8.9,1024.2,39,5
12,6.4,5.1,4.6,3.8,82.5,84.3,79.8,73.4,3.1,7.5,10.8,10.8,1026.3,39,8
15,7.7,5.5,4.1,3.8,70.3,78.6,51.4,45.1,4.0,6.4,13.2,13.2,1027.1,39,11
18,8.9,6.9,3.5,3.5,57.5,63.5,59.7,41.8,5.2,7.5,13.3,13.3,1024.5,39,14
21,8.2,6.8,3.3,2.4,61.0,64.3,72.2,60.4,5.3,9.2,14.0,14.0,1024.3,39,17
24,7.7,6.7,3.5,2.0,67.5,69.8,76.9,75.8,5.1,10.0,15.5,15.5,1024.8,39,20
27,7.0,5.9,2.7,1.4,73.0,74.6,80.1,78.7,5.7,10.9,16.3,16.3,1024.9,39,23
30,6.6,5.5,2.4,1.4,75.1,77.8,83.8,81.9,5.0,9.7,15.2,15.2,1023.6,40,2
33,6.2,5.2,2.3,1.4,80.1,81.9,90.2,91.6,5.0,9.3,14.7,14.7,1021.8,40,5
36,6.1,5.1,2.4,2.0,83.4,85.2,94.5,96.5,4.5,8.4,13.6,13.6,1022.3,40,8
39,6.8,5.6,2.9,2.5,89.7,89.5,98.2,98.9,4.0,7.0,11.1,11.1,1022.0,40,11
42,7.5,6.3,3.3,2.5,90.3,91.0,99.3,99.8,4.1,5.3,5.7,5.7,1019.5,40,14
