fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,5.9,7.7,5.3,4.5,54.4,43.5,37.7,23.0,4.1,10.3,12.3,12.3,1024.0,15,20
3,3.5,4.0,4.4,3.9,60.9,54.5,23.4,16.7,4.6,11.2,13.7,13.7,1026.1,15,23
6,1.3,0.9,1.8,1.6,73.9,72.5,32.7,30.4,3.7,9.5,13.6,13.6,1027.7,16,2
9,-0.1,-1.0,-0.1,-0.0,76.9,76.8,38.3,35.1,2.9,7.9,11.8,11.8,1029.5,16,5
12,-0.9,-2.7,-1.5,-1.3,77.8,84.3,35.0,27.3,3.5,7.9,10.6,10.6,1031.7,16,8
15,2.9,-0.6,-2.7,-1.4,57.4,68.1,47.9,18.7,2.6,4.0,8.1,8.1,1033.2,16,11
18,4.5,1.8,-2.2,-2.4,47.2,52.4,65.7,36.8,3.6,5.2,6.1,6.1,1030.5,16,14
21,3.8,2.0,-1.8,-2.6,49.5,51.3,61.9,46.4,3.1,6.1,7.4,7.4,1031.7,16,17
24,2.1,1.1,-2.0,-2.4,57.1,55.4,61.4,43.4,2.5,6.7,7.6,7.6,1033.8,16,20
27,1.5,0.6,-2.1,-2.8,60.6,57.0,62.5,49.7,2.8,6.6,6.3,6.3,1036.1,16,23
30,0.2,-0.2,-2.3,-3.1,66.3,58.0,60.2,48.2,2.2,6.1,3.1,3.1,1037.0,17,2
33,-0.7,-0.6,-2.3,-3.3,72.2,58.5,53.2,41.4,1.2,3.6,2.4,2.4,1036.4,17,5
36,-1.2,-0.8,-2.6,-3.7,77.2,58.2,52.1,39.8,0.7,2.2,1.1,1.1,1037.3,17,8
39,4.3,0.7,-2.9,-3.8,48.9,56.8,62.6,41.6,1.8,2.3,2.2,2.2,1036.6,17,11
42,6.6,3.4,-0.6,-2.6,38.5,41.8,51.6,57.7,2.2,3.1,3.9,3.9,1032.0,17,14
