fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,12.7,12.3,10.2,9.6,94.0,92.6,93.8,93.2,0.9,2.0,2.1,2.1,1014.9,87,20
3,11.4,12.1,10.5,9.6,97.7,93.4,90.4,91.8,0.7,0.7,3.9,3.9,1013.9,87,23
6,10.7,11.7,10.3,9.4,99.0,96.2,90.2,91.0,2.5,3.0,5.6,5.6,1012.0,88,2
9,11.0,11.0,10.1,9.6,97.8,97.4,90.7,87.2,4.0,4.4,8.3,8.3,1011.6,88,5
12,12.0,11.2,10.5,10.2,94.2,96.1,87.7,77.5,3.2,3.6,9.1,9.1,1012.4,88,8
15,17.8,15.9,11.7,10.0,67.5,70.5,84.6,88.8,4.0,4.3,5.1,5.1,1013.6,88,11
18,20.9,19.5,15.1,12.9,55.2,55.1,67.0,74.5,2.2,2.3,3.0,3.0,1011.8,88,14
21,20.7,20.5,16.4,14.3,59.3,54.1,63.6,70.0,2.1,1.9,3.3,3.3,1010.5,88,17
24,15.3,18.2,16.9,15.3,81.7,66.5,61.7,60.3,7.3,6.6,6.8,6.8,1011.7,88,20
27,14.4,16.4,17.9,16.5,86.7,76.7,49.5,42.7,7.4,7.1,7.7,7.7,1012.4,88,23
30,13.8,15.5,18.9,17.6,86.3,78.8,36.7,32.3,6.9,6.5,9.9,9.9,1011.0,89,2
33,13.7,15.1,18.7,18.2,81.5,75.6,34.2,28.8,6.5,6.0,13.4,13.4,1009.5,89,5
36,16.9,16.6,18.4,18.3,72.1,69.1,41.8,37.8,6.1,5.7,12.8,12.8,1010.4,89,8
39,23.8,22.6,19.5,19.2,55.2,55.1,47.6,37.4,4.8,4.9,11.8,11.8,1010.5,89,11
42,26.8,26.1,21.7,19.9,45.4,43.7,51.1,51.7,5.3,5.6,7.5,7.5,1008.1,89,14
