fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,4.3,2.6,-1.2,-2.5,72.8,79.1,97.6,99.4,1.9,2.6,2.9,2.9,1028.1
3,4.3,2.7,-0.9,-2.1,74.2,80.5,98.0,99.8,3.0,5.2,5.7,5.7,1027.3
6,4.4,2.8,-0.3,-1.1,74.4,80.9,97.5,99.8,3.7,5.8,6.6,6.6,1026.5
9,4.4,2.9,0.7,0.5,73.9,79.8,96.8,99.8,4.2,7.7,9.2,9.2,1024.4
12,5.2,3.6,2.1,2.3,73.8,80.2,94.6,99.4,4.5,7.2,10.6,10.6,1024.4
15,6.9,5.1,4.5,4.9,74.9,80.0,90.4,97.2,4.0,5.9,9.0,9.0,1023.6
18,8.3,6.6,5.4,6.0,78.3,83.5,90.1,95.0,2.3,3.5,5.9,5.9,1021.6
21,8.4,7.4,5.9,6.6,82.1,84.3,90.3,92.5,1.9,3.6,3.4,3.4,1021.6
24,8.3,7.6,6.9,7.4,87.6,86.6,89.1,92.5,2.0,5.0,4.7,4.7,1021.8
27,8.5,8.0,8.3,8.4,89.8,87.3,86.8,93.1,2.0,4.6,5.6,5.6,1021.6
30,8.5,8.3,9.6,9.6,92.9,89.2,85.2,92.0,2.7,4.3,5.4,5.4,1020.6
33,8.6,8.4,10.2,10.8,94.6,91.9,86.1,91.1,3.0,4.3,3.9,3.9,1018.9
36,9.0,8.9,11.4,12.2,94.6,92.0,86.2,91.1,1.5,3.4,7.5,7.5,1018.7
39,13.5,11.7,13.3,14.2,78.5,84.7,84.3,87.8,3.3,3.8,12.4,12.4,1018.3
42,16.8,15.4,13.4,13.7,68.9,73.6,85.8,90.7,1.3,1.7,9.3,9.3,1014.6
