fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,14.6,14.3,10.9,9.1,76.5,68.5,78.8,84.6,2.4,2.9,4.3,4.3,1024.9,280,20
3,13.8,13.8,10.8,9.4,85.9,73.3,81.3,84.5,1.7,2.1,4.0,4.0,1024.9,280,23
6,13.2,13.5,10.9,9.5,90.3,76.0,82.7,86.2,0.6,2.3,4.8,4.8,1024.0,281,2
9,13.1,13.3,10.9,9.6,90.8,78.8,85.3,89.2,1.8,3.6,5.1,5.1,1023.3,281,5
12,14.3,13.2,10.9,9.7,85.9,81.6,85.1,87.0,1.7,5.0,6.5,6.5,1023.9,281,8
15,18.2,15.7,11.8,10.5,65.0,70.4,79.3,79.5,3.7,4.5,7.2,7.2,1022.9,281,11
18,19.2,17.5,13.2,11.5,60.1,62.6,76.1,78.7,3.2,4.2,5.8,5.8,1020.5,281,14
21,18.1,17.3,13.6,11.8,67.2,66.1,77.1,82.9,2.2,4.1,6.6,6.6,1019.9,281,17
24,16.2,16.1,13.4,12.0,86.7,75.7,81.2,84.2,2.0,4.5,4.9,4.9,1021.3,281,20
27,15.6,15.1,13.1,11.9,91.9,83.9,84.6,85.7,2.2,3.4,3.9,3.9,1021.6,281,23
30,15.2,14.6,12.5,11.3,94.0,88.5,89.9,90.6,3.1,3.3,2.1,2.1,1021.1,282,2
33,15.0,14.2,12.0,11.0,94.7,92.0,91.0,91.5,3.7,4.4,4.3,4.3,1021.7,282,5
36,15.8,14.1,11.9,10.9,89.6,93.3,89.9,89.6,4.2,5.7,7.4,7.4,1023.8,282,8
39,19.3,16.7,12.4,10.8,60.8,66.6,81.2,80.8,7.0,9.2,10.7,10.7,1023.6,282,11
42,18.8,16.8,12.5,10.3,39.2,39.5,49.3,55.3,9.7,11.3,12.6,12.6,1022.8,282,14
