fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,4.8,7.4,3.8,2.0,81.2,60.7,72.3,77.7,1.6,3.7,4.5,4.5,1026.7,340,20
3,3.3,7.0,3.9,2.6,85.3,60.2,69.7,70.5,1.7,3.2,2.6,2.6,1027.1,340,23
6,2.6,6.6,3.9,2.5,87.7,60.9,70.0,73.7,1.3,2.8,1.1,1.1,1026.9,341,2
9,1.5,6.0,3.6,2.2,90.9,62.1,71.3,75.4,2.2,3.6,2.2,2.2,1026.1,341,5
12,3.3,5.7,3.6,2.3,83.9,61.8,70.3,73.4,1.9,5.6,4.2,4.2,1027.0,341,8
15,9.3,6.7,3.9,2.7,60.8,66.2,71.7,74.6,1.6,3.2,4.1,4.1,1027.7,341,11
18,11.1,8.9,4.8,3.3,57.6,61.5,77.0,82.4,2.1,3.2,4.1,4.1,1024.6,341,14
21,9.6,9.0,5.2,3.5,67.2,64.7,80.3,88.4,1.7,4.4,4.9,4.9,1024.7,341,17
24,8.8,8.6,5.4,4.0,72.1,68.9,85.0,92.1,1.7,5.3,6.2,6.2,1025.2,341,20
27,8.4,8.2,6.0,5.0,75.8,73.0,88.0,92.8,1.0,4.1,6.4,6.4,1025.2,341,23
30,8.0,7.7,6.2,5.3,81.0,78.6,89.4,93.2,1.0,2.6,4.1,4.1,1024.7,342,2
33,7.5,7.2,6.0,5.3,85.6,82.9,91.3,93.9,2.5,3.5,0.6,0.6,1023.8,342,5
36,7.8,7.0,6.0,5.4,86.6,85.9,91.7,93.0,1.3,3.4,1.0,1.0,1025.3,342,8
39,9.5,7.5,5.7,5.0,80.5,88.0,93.6,96.0,1.4,1.6,1.0,1.0,1025.8,342,11
42,9.8,8.2,5.8,5.2,80.0,85.9,93.1,94.5,2.4,2.6,2.5,2.5,1023.3,342,14
