fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,5.3,4.3,1.1,-0.1,85.0,86.0,89.7,89.1,3.3,7.5,8.7,8.7,1026.5,10,20
3,4.1,3.3,0.3,-0.9,90.0,90.7,95.3,94.5,3.5,8.6,9.4,9.4,1027.9,10,23
6,3.5,1.8,-0.8,-1.5,89.9,96.7,95.0,88.8,3.9,8.0,9.2,9.2,1029.0,11,2
9,3.0,1.2,-2.0,-2.8,86.8,94.7,99.1,93.2,2.9,4.4,5.1,5.1,1028.6,11,5
12,2.8,0.8,-2.4,-3.8,83.0,90.9,97.5,95.2,0.5,1.5,2.3,2.3,1030.0,11,8
15,4.5,1.7,-2.2,-3.7,68.6,78.2,94.5,94.3,0.2,0.6,0.6,0.6,1030.9,11,11
18,6.5,3.7,-0.4,-2.4,55.6,62.1,77.5,86.4,0.7,0.6,0.2,0.2,1028.4,11,14
21,5.2,4.4,0.4,-1.5,62.7,57.6,70.6,75.7,1.8,2.1,1.6,1.6,1027.8,11,17
24,1.3,4.0,0.4,-1.0,78.4,56.0,66.0,61.3,2.4,4.5,5.1,5.1,1027.4,11,20
27,-0.2,3.5,0.5,-0.5,81.2,53.9,60.6,49.7,2.8,5.6,5.8,5.8,1027.3,11,23
30,-1.2,2.6,0.6,-0.1,81.2,51.8,55.3,45.3,2.5,6.6,4.9,4.9,1026.9,12,2
33,-1.8,1.5,0.7,0.1,80.4,51.3,50.4,48.2,2.5,7.1,3.7,3.7,1025.8,12,5
36,-1.0,0.6,1.0,0.5,74.1,53.2,44.0,46.2,2.9,7.9,4.3,4.3,1026.2,12,8
39,6.0,3.2,2.1,1.7,48.0,51.6,35.5,38.7,3.2,4.5,4.5,4.5,1026.0,12,11
42,9.5,7.2,3.3,2.5,38.4,39.3,44.5,39.1,1.8,2.1,3.1,3.1,1023.1,12,14
