fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,10.7,13.2,10.9,9.3,69.2,54.9,56.4,58.0,7.3,8.3,8.6,8.6,1020.3,66,20
3,9.2,11.9,11.3,9.6,78.8,63.0,55.1,58.8,5.3,6.4,5.4,5.4,1020.4,66,23
6,7.3,10.9,11.0,9.4,88.6,69.0,58.1,61.9,3.5,4.4,4.2,4.2,1019.8,67,2
9,6.5,9.7,10.9,9.4,90.8,74.2,56.1,59.5,5.7,6.5,3.7,3.7,1019.0,67,5
12,8.9,9.3,11.0,9.8,83.1,74.9,52.2,50.9,5.1,6.1,3.5,3.5,1019.7,67,8
15,16.5,14.0,11.1,10.4,54.4,58.7,50.9,43.5,3.4,3.9,5.2,5.2,1019.6,67,11
18,19.7,17.8,13.4,11.3,41.1,41.5,51.1,52.7,4.7,4.7,5.1,5.1,1016.3,67,14
21,18.6,18.3,14.2,12.3,44.1,39.6,46.3,45.8,6.4,6.4,8.2,8.2,1015.2,67,17
24,12.8,15.9,14.5,13.1,61.2,47.0,37.1,34.5,7.4,7.6,11.4,11.4,1016.3,67,20
27,10.1,15.0,14.4,12.9,72.0,48.4,38.6,36.8,5.9,6.3,9.5,9.5,1017.6,67,23
30,8.6,13.7,13.9,12.5,80.2,53.6,40.0,37.5,4.5,5.5,6.6,6.6,1017.6,68,2
33,7.5,12.3,13.8,12.7,85.4,59.6,38.0,31.1,4.1,5.2,6.3,6.3,1017.4,68,5
36,10.0,11.9,13.6,12.4,76.7,60.1,38.2,33.3,4.1,5.6,7.0,7.0,1019.4,68,8
39,19.0,16.6,14.1,12.5,47.9,49.7,37.1,36.2,3.4,3.9,7.1,7.1,1019.7,68,11
42,22.0,20.2,15.8,13.6,33.0,31.8,38.9,43.4,5.1,5.3,6.1,6.1,1017.0,68,14
