fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,7.4,14.1,10.6,8.9,75.9,42.1,46.8,40.1,2.6,3.2,3.7,3.7,1022.2
3,6.0,13.0,10.0,8.7,81.9,46.5,50.0,36.1,2.7,5.8,4.1,4.1,1022.3
6,5.1,10.6,9.3,8.8,85.5,55.7,51.2,27.1,2.5,7.4,5.4,5.4,1021.8
9,3.9,8.2,8.9,8.9,89.6,66.2,46.1,22.6,2.4,6.7,6.6,6.6,1021.5
12,4.4,6.5,9.0,8.8,89.9,76.1,34.5,22.0,2.5,7.1,6.7,6.7,1022.3
15,11.3,8.7,9.5,9.2,65.2,73.0,26.0,18.1,2.6,4.6,8.4,8.4,1022.2
18,14.6,12.7,8.9,9.5,48.2,50.9,50.2,18.5,3.2,4.7,6.5,6.5,1018.5
21,11.1,12.6,9.2,8.7,61.0,51.4,55.4,35.9,2.2,6.1,7.1,7.1,1017.9
24,7.6,10.4,9.1,8.4,78.9,64.1,57.8,46.5,2.3,6.6,5.6,5.6,1019.1
27,6.7,8.7,9.4,8.4,87.0,76.3,58.4,50.1,2.1,5.0,2.6,2.6,1019.7
30,6.0,7.4,8.6,7.7,91.1,84.2,67.0,59.3,2.7,5.3,1.9,1.9,1020.2
33,4.9,5.5,7.2,6.5,94.8,92.9,78.4,68.6,2.5,5.5,4.2,4.2,1020.3
36,5.4,4.5,5.5,4.8,93.1,97.3,94.1,91.4,3.1,6.4,5.4,5.4,1023.1
39,7.7,5.8,3.8,3.8,83.9,92.2,99.6,99.4,4.6,6.8,8.9,8.9,1025.3
42,7.6,5.7,2.7,2.4,83.3,89.8,99.6,99.6,5.0,7.8,11.1,11.1,1025.4
