fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,5.4,7.3,4.2,2.6,84.2,68.6,80.0,84.4,3.0,7.3,4.2,4.2,1029.6,17,20
3,3.8,5.7,3.6,2.1,89.5,73.8,82.9,87.9,2.9,8.2,4.7,4.7,1029.8,17,23
6,2.4,4.5,3.5,2.1,92.7,79.1,84.2,87.5,2.2,7.1,3.6,3.6,1029.1,18,2
9,1.2,2.9,3.4,2.0,95.6,89.0,85.1,86.5,2.0,6.4,3.1,3.1,1028.4,18,5
12,1.6,2.4,3.4,2.8,96.3,94.2,84.5,70.7,1.9,6.1,3.1,3.1,1028.6,18,8
15,8.0,4.9,4.0,3.8,73.7,85.8,78.2,58.9,2.7,3.2,3.3,3.3,1028.0,18,11
18,11.6,9.2,5.3,4.5,60.4,66.4,75.5,60.1,1.9,2.4,2.3,2.3,1024.6,18,14
21,9.7,10.1,6.6,5.5,72.4,61.3,66.4,58.3,1.5,2.4,1.4,1.4,1023.5,18,17
24,5.5,9.9,7.2,6.1,84.9,60.7,59.3,54.1,1.6,3.2,2.6,2.6,1024.0,18,20
27,3.7,9.4,7.5,6.4,89.5,62.1,57.5,58.1,2.4,3.7,3.5,3.5,1023.9,18,23
30,2.5,8.6,7.5,6.4,92.5,65.4,59.6,63.9,2.2,3.6,3.8,3.8,1023.5,19,2
33,1.8,7.7,7.1,5.7,94.5,69.6,64.5,64.4,0.8,1.4,3.5,3.5,1023.2,19,5
36,1.8,7.1,6.4,5.1,96.3,72.8,65.1,60.6,0.9,1.6,3.7,3.7,1024.9,19,8
39,10.4,7.9,6.3,4.9,67.9,73.5,65.7,60.9,0.1,1.4,2.5,2.5,1025.8,19,11
42,13.4,11.3,7.1,5.1,52.5,55.7,67.5,70.8,0.4,1.3,1.7,1.7,1023.3,19,14
