fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,5.8,8.7,5.5,3.5,47.4,30.1,31.8,34.9,3.6,8.5,12.6,12.6,1025.3
3,5.1,8.3,6.1,4.2,50.1,31.1,28.7,30.3,2.7,9.0,13.7,13.7,1025.1
6,5.1,7.8,6.9,5.2,48.8,32.9,25.6,25.7,3.7,10.1,15.3,15.3,1024.2
9,5.1,7.7,7.3,5.9,46.8,32.5,24.0,24.1,4.6,10.6,18.2,18.2,1022.6
12,7.1,6.7,4.1,2.3,39.8,33.8,29.9,28.7,6.5,11.9,17.8,17.8,1024.8
15,10.0,7.4,3.2,1.1,24.6,24.9,31.2,34.8,8.6,11.6,13.9,13.9,1025.8
18,11.0,8.8,4.6,2.4,22.9,22.4,27.9,31.7,7.6,11.2,13.0,13.0,1023.5
21,8.8,8.6,4.8,2.8,29.5,26.0,29.8,33.0,6.2,10.2,14.4,14.4,1024.0
24,6.3,7.4,4.8,2.9,39.0,30.4,29.2,30.9,4.2,9.5,15.3,15.3,1025.2
27,4.4,6.9,5.3,3.5,47.8,32.4,28.5,29.9,3.1,9.2,13.4,13.4,1025.8
30,3.7,6.4,5.4,3.9,51.2,34.4,28.0,27.5,3.1,8.9,12.3,12.3,1025.0
33,2.9,6.4,5.9,4.2,55.0,34.0,23.8,24.7,2.6,8.1,7.0,7.0,1024.2
36,4.7,7.2,6.4,4.8,52.1,30.6,24.1,25.0,3.2,7.5,10.0,10.0,1024.5
39,12.6,10.1,7.2,5.6,32.1,32.2,22.6,23.1,2.9,5.1,12.2,12.2,1023.6
42,14.9,13.1,8.8,6.6,23.0,21.3,26.4,29.4,4.7,7.2,8.7,8.7,1020.3
