fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,15.1,15.6,12.5,10.5,64.6,57.7,64.3,70.9,4.9,8.7,10.0,10.0,1023.8,307,20
3,12.9,14.6,11.6,9.7,74.9,61.6,67.2,72.2,3.5,6.4,8.3,8.3,1024.8,307,23
6,12.3,12.4,10.5,8.9,80.7,77.5,74.3,78.0,5.8,9.5,9.1,9.1,1025.1,308,2
9,11.7,11.1,9.4,8.2,88.1,89.0,85.9,84.0,5.1,8.9,10.2,10.2,1026.2,308,5
12,12.7,10.5,8.6,7.8,79.0,87.5,87.7,89.4,5.5,8.5,10.4,10.4,1027.9,308,8
15,16.0,12.9,8.6,7.4,58.6,67.7,83.7,86.8,4.7,6.3,7.4,7.4,1028.2,308,11
18,17.4,14.8,10.5,8.3,50.1,55.1,68.9,77.2,4.7,5.1,5.5,5.5,1026.1,308,14
21,15.8,14.5,10.3,8.3,48.4,48.7,59.7,66.0,4.2,6.3,6.8,6.8,1026.5,308,17
24,13.5,13.0,9.7,7.9,49.7,45.5,50.1,52.1,3.9,7.4,7.9,7.9,1027.9,308,20
27,11.5,12.1,9.3,7.7,57.4,48.6,51.3,49.5,3.9,7.7,7.4,7.4,1028.3,308,23
30,10.5,10.8,8.5,7.1,65.2,58.9,59.3,58.1,3.3,7.8,6.9,6.9,1028.3,309,2
33,9.3,10.0,8.0,6.9,74.1,63.4,57.2,48.3,2.2,6.8,6.2,6.2,1028.4,309,5
36,10.9,9.8,7.9,7.1,67.5,59.4,37.7,24.6,2.2,6.3,7.4,7.4,1029.7,309,8
39,14.9,11.8,7.8,7.4,41.0,46.0,46.2,21.9,2.7,4.0,6.0,6.0,1029.2,309,11
42,16.6,13.9,9.7,7.8,35.4,38.5,46.6,44.4,2.3,3.3,4.1,4.1,1026.2,309,14
