fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,2.7,4.7,1.0,-0.6,58.5,36.2,42.7,39.0,3.3,5.0,4.3,4.3,1030.4,343,20
3,1.3,4.2,0.9,-0.5,66.2,37.7,42.1,38.1,2.3,5.3,3.7,3.7,1030.8,343,23
6,0.5,3.5,0.9,-0.4,68.9,39.2,42.3,37.8,2.0,5.6,3.5,3.5,1029.7,344,2
9,1.2,3.0,0.9,-0.1,62.8,40.4,43.3,35.8,1.9,6.1,3.6,3.6,1028.6,344,5
12,2.6,2.6,1.1,0.4,57.6,45.4,43.2,30.7,2.2,6.5,4.8,4.8,1028.4,344,8
15,6.6,4.0,1.4,0.6,46.6,50.9,44.7,31.4,1.8,3.5,5.0,5.0,1028.1,344,11
18,8.8,6.5,2.5,1.5,39.5,42.3,49.5,27.7,2.4,3.6,4.0,4.0,1024.7,344,14
21,7.5,6.4,2.8,2.1,45.0,43.2,47.3,27.0,3.0,4.9,5.1,5.1,1024.4,344,17
24,6.6,5.7,3.0,2.5,48.7,46.3,47.1,32.5,2.9,6.4,6.8,6.8,1024.4,344,20
27,6.2,5.4,3.6,3.0,51.4,49.4,52.3,40.0,2.7,6.2,5.8,5.8,1024.8,344,23
30,5.6,5.1,4.1,3.4,55.7,52.6,57.6,47.2,2.4,6.0,5.7,5.7,1024.2,345,2
33,5.4,4.8,4.0,3.5,56.2,54.0,61.2,55.9,3.6,6.5,5.8,5.8,1023.6,345,5
36,5.8,4.6,3.6,3.1,54.1,53.3,64.8,63.2,4.2,7.8,8.4,8.4,1024.7,345,8
39,7.6,5.6,3.7,3.0,53.6,57.9,68.5,72.3,3.3,5.2,10.0,10.0,1024.6,345,11
42,8.1,6.5,3.9,3.1,57.7,61.0,67.7,76.3,3.7,4.8,9.4,9.4,1022.5,345,14
