fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,6.2,5.2,1.9,1.0,88.6,90.1,99.7,99.8,5.1,8.8,11.9,11.9,1019.6,56,20
3,6.0,5.0,2.1,1.3,91.1,92.2,99.8,99.9,4.7,8.6,13.8,13.8,1020.1,56,23
6,5.9,5.0,2.1,1.3,92.7,93.7,99.8,99.8,4.8,8.4,13.8,13.8,1019.4,57,2
9,5.6,4.6,1.7,1.1,93.4,94.1,99.5,98.5,4.1,7.4,11.5,11.5,1020.2,57,5
12,5.2,4.1,1.5,1.9,92.6,93.2,95.4,90.7,4.6,8.2,12.7,12.7,1021.1,57,8
15,5.2,3.8,1.0,0.9,90.2,91.6,98.5,97.0,5.1,8.2,11.1,11.1,1023.4,57,11
18,6.0,4.5,1.6,1.6,86.9,90.8,98.5,96.4,4.5,6.7,10.0,10.0,1021.5,57,14
21,6.0,4.9,2.2,1.8,92.0,92.7,97.5,96.4,3.5,6.1,10.0,10.0,1021.6,57,17
24,6.1,5.3,3.1,2.3,90.5,89.1,91.9,92.3,2.4,5.5,11.0,11.0,1022.6,57,20
27,6.3,5.7,3.5,2.6,89.9,86.3,90.0,92.2,2.3,5.5,10.3,10.3,1022.8,57,23
30,6.3,5.7,3.6,2.6,89.5,86.7,93.7,97.7,2.8,6.2,9.8,9.8,1022.3,58,2
33,6.3,5.7,3.9,3.1,90.8,88.8,93.5,95.9,3.0,6.7,10.9,10.9,1021.6,58,5
36,6.8,5.9,4.1,3.5,89.3,88.1,88.6,90.9,2.4,6.0,10.7,10.7,1023.1,58,8
39,8.7,6.8,4.5,4.2,79.3,85.3,88.4,88.9,2.4,4.5,9.7,9.7,1023.3,58,11
42,12.9,10.6,6.4,4.6,63.5,68.4,85.1,92.6,3.2,4.2,5.3,5.3,1020.8,58,14
