fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,20.5,22.6,23.3,21.9,67.1,60.0,41.7,38.6,9.2,6.9,10.5,10.5,1008.1
3,18.9,20.6,22.8,21.9,72.6,66.1,39.6,32.6,9.6,7.1,10.7,10.7,1008.7
6,17.8,19.9,23.0,22.3,71.8,64.3,35.2,27.4,8.4,6.4,15.4,15.4,1008.2
9,16.9,19.9,22.5,21.9,72.0,60.3,34.9,27.4,4.2,3.6,9.9,9.9,1008.5
12,19.2,19.7,22.5,21.6,70.3,63.6,34.1,27.7,5.6,4.8,3.8,3.8,1009.7
15,25.7,24.6,22.7,21.4,54.0,52.9,33.4,31.4,2.7,2.9,2.6,2.6,1010.2
18,28.3,27.5,23.1,21.1,44.1,41.6,47.6,47.9,0.9,0.6,0.2,0.2,1008.6
21,26.9,27.2,23.4,21.4,56.7,47.7,48.5,50.9,1.3,1.9,2.0,2.0,1008.1
24,20.8,23.3,21.9,20.5,75.4,63.0,56.7,56.9,2.0,4.3,6.3,6.3,1009.2
27,17.8,18.3,18.5,18.3,66.9,65.1,63.8,70.0,6.7,9.7,13.0,13.0,1011.9
30,15.4,15.2,16.6,16.9,55.2,55.6,62.0,75.5,5.4,8.2,13.5,13.5,1012.1
33,14.0,13.7,15.1,16.2,57.1,57.2,64.1,77.4,4.3,6.4,10.3,10.3,1011.5
36,14.0,13.0,12.6,15.1,63.0,63.9,69.7,76.0,3.5,5.1,11.0,11.0,1013.2
39,18.3,16.4,13.1,15.8,58.9,61.2,75.0,74.7,2.1,3.0,6.9,6.9,1012.7
42,21.9,20.5,16.1,17.1,58.5,59.5,72.1,71.3,1.3,1.8,2.1,2.1,1010.3
