fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,6.2,5.4,2.3,0.8,80.8,82.2,91.8,96.8,3.7,6.7,9.3,9.3,1020.7
3,5.8,5.0,2.5,1.8,88.0,87.8,93.2,95.2,3.4,6.6,11.2,11.2,1019.9
6,5.6,4.9,2.6,2.3,93.7,92.2,97.5,96.4,2.6,4.9,7.9,7.9,1019.5
9,5.4,4.6,2.7,2.6,94.5,95.9,98.6,97.1,2.3,4.5,5.1,5.1,1018.8
12,5.6,4.5,3.0,3.0,93.5,97.1,98.2,94.1,2.5,4.3,2.4,2.4,1020.2
15,8.4,6.3,3.0,2.7,79.2,87.0,99.4,95.0,2.6,3.7,3.0,3.0,1020.4
18,10.5,8.7,4.6,3.0,70.3,75.9,94.2,99.1,2.3,3.4,3.6,3.6,1017.9
21,10.2,9.2,5.1,3.4,71.9,75.0,93.3,99.5,3.2,4.8,5.3,5.3,1018.0
24,8.7,8.1,5.2,4.0,81.6,83.7,96.9,99.4,4.5,7.9,10.1,10.1,1018.1
27,8.3,7.7,6.1,5.8,86.8,89.4,97.7,98.4,4.6,8.2,11.7,11.7,1017.6
30,8.2,7.7,6.8,7.5,90.6,91.4,97.4,95.3,4.9,8.6,14.2,14.2,1016.2
33,8.0,7.7,6.6,7.5,94.9,94.6,98.3,97.0,3.1,5.8,12.8,12.8,1014.0
36,8.1,7.6,6.6,7.1,95.8,96.3,98.5,98.4,5.2,5.2,5.2,5.2,1015.5
39,8.8,7.7,6.2,6.7,91.2,95.5,99.2,98.7,5.5,5.6,2.8,2.8,1016.6
42,10.6,9.3,5.8,5.6,80.1,85.4,99.6,99.3,4.8,5.0,4.8,4.8,1015.0
