fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,1.6,6.1,4.6,3.0,92.3,73.5,46.5,39.1,2.1,1.7,2.4,2.4,1027.2
3,0.8,6.0,4.5,3.1,93.7,73.1,47.1,32.0,5.2,5.8,4.0,4.0,1026.5
6,0.5,5.9,4.9,4.1,94.6,72.9,35.7,20.1,6.6,8.0,6.4,6.4,1024.7
9,0.1,4.8,5.3,4.9,94.9,75.4,33.6,15.8,6.8,8.6,8.4,8.4,1023.3
12,0.8,4.8,6.0,5.8,94.1,70.1,28.2,16.3,6.0,7.1,6.1,6.1,1023.6
15,8.1,5.9,6.8,6.7,69.8,70.8,24.9,13.7,4.9,5.5,6.3,6.3,1023.3
18,12.2,10.3,7.3,7.6,47.8,49.7,34.1,12.3,4.5,4.6,5.0,5.0,1020.1
21,8.8,10.5,8.1,7.9,63.2,50.7,34.3,17.0,6.5,6.9,4.3,4.3,1020.0
24,5.0,9.1,9.2,8.4,78.0,56.1,27.1,19.8,6.9,7.6,3.2,3.2,1020.5
27,2.9,8.6,9.2,8.3,86.2,57.3,28.6,20.6,4.5,5.4,3.0,3.0,1021.0
30,1.9,8.2,9.0,7.9,87.8,56.5,29.4,23.9,1.8,2.7,2.8,2.8,1021.7
33,1.2,7.7,8.2,7.0,88.2,55.1,37.8,34.8,2.2,3.1,4.7,4.7,1021.6
36,1.5,7.3,7.3,6.1,88.3,54.9,52.8,49.6,2.0,2.9,5.2,5.2,1023.4
39,9.9,7.7,6.9,6.1,60.1,61.6,60.1,54.3,0.1,0.6,2.2,2.2,1023.8
42,13.1,11.2,7.3,6.5,51.8,54.0,63.7,52.8,0.5,0.5,1.3,1.3,1021.3
