fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,-0.1,4.1,1.0,-0.9,46.9,22.2,24.1,26.4,3.5,5.3,8.7,8.7,1028.6,28,20
3,-1.8,3.6,1.0,-0.6,56.4,24.4,24.7,26.2,2.6,3.1,7.5,7.5,1028.7,28,23
6,-2.3,3.6,1.3,-0.2,63.1,27.6,24.4,23.2,4.6,6.0,7.2,7.2,1027.2,29,2
9,-2.3,3.6,2.0,0.5,63.9,29.4,20.1,17.6,3.4,6.8,9.0,9.0,1025.9,29,5
12,-0.7,3.6,2.8,1.4,57.1,27.9,15.4,13.7,3.0,6.5,8.9,8.9,1026.3,29,8
15,8.2,5.5,3.9,2.5,32.7,31.7,15.2,13.3,3.0,5.2,11.5,11.5,1026.4,29,11
18,12.1,9.8,5.6,3.5,21.3,20.4,24.3,25.1,4.7,6.2,7.5,7.5,1023.8,29,14
21,9.1,10.3,6.5,4.5,36.8,21.8,23.9,24.9,3.5,5.6,7.1,7.1,1024.2,29,17
24,3.1,8.9,6.2,4.4,52.8,27.1,24.4,24.0,3.8,3.7,6.4,6.4,1025.6,29,20
27,1.4,8.0,5.8,4.2,61.0,29.0,25.4,26.0,0.8,0.6,5.2,5.2,1026.3,29,23
30,-0.7,7.5,5.6,4.1,72.0,29.7,28.1,29.6,2.3,2.1,4.2,4.2,1026.2,30,2
33,-1.5,7.2,5.7,4.1,76.7,30.4,29.7,30.2,2.1,2.6,3.1,3.1,1025.4,30,5
36,0.3,6.9,5.7,4.3,73.3,33.2,29.0,28.6,4.8,5.9,2.8,2.8,1026.0,30,8
39,9.8,7.4,6.3,5.0,45.3,42.7,25.2,23.6,3.5,5.8,5.1,5.1,1025.9,30,11
42,13.8,11.7,7.6,6.5,29.4,29.3,31.4,22.6,5.0,5.1,5.8,5.8,1021.9,30,14
