fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,5.7,9.4,6.3,4.9,57.3,33.1,33.7,30.0,2.2,1.7,1.0,1.0,1027.6,336,20
3,3.8,9.0,6.3,4.8,67.9,34.4,33.0,32.8,1.6,1.9,1.2,1.2,1028.7,336,23
6,2.7,8.5,6.0,4.4,74.5,35.7,34.5,36.6,2.0,2.4,1.5,1.5,1028.1,337,2
9,2.1,7.9,5.6,4.0,78.0,36.7,36.1,40.4,1.8,2.5,2.1,2.1,1027.7,337,5
12,3.3,7.3,5.1,3.5,74.2,38.3,38.2,42.7,2.6,3.6,2.7,2.7,1029.0,337,8
15,11.2,8.2,4.8,3.5,38.9,41.9,40.4,42.9,2.1,2.8,2.8,2.8,1029.2,337,11
18,13.0,10.4,6.2,4.2,33.9,35.8,44.6,48.4,2.1,2.2,1.7,1.7,1026.3,337,14
21,8.7,10.5,6.6,4.9,50.8,36.0,43.8,43.1,2.3,2.7,2.9,2.9,1025.5,337,17
24,5.3,9.8,6.6,5.7,61.8,36.5,40.5,31.6,2.9,4.6,3.4,3.4,1025.5,337,20
27,3.8,9.1,6.7,6.5,67.7,37.2,35.9,25.1,3.7,5.5,2.9,2.9,1024.8,337,23
30,2.6,8.3,7.3,7.2,73.6,38.7,31.6,26.1,3.5,4.7,1.8,1.8,1023.9,338,2
33,2.1,7.6,7.9,7.7,75.3,41.9,31.6,30.1,3.4,3.9,1.3,1.3,1021.9,338,5
36,4.4,7.5,8.4,8.0,67.3,43.9,34.3,32.5,3.3,3.7,2.2,2.2,1022.1,338,8
39,9.6,8.1,8.9,8.2,52.3,48.5,36.4,31.9,1.8,2.9,3.0,3.0,1021.3,338,11
42,13.1,11.5,9.2,8.3,42.0,42.9,37.6,30.9,1.7,1.8,3.5,3.5,1018.0,338,14
