fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,1.2,1.6,-2.2,-4.2,60.1,47.8,58.2,63.6,6.2,9.0,8.5,8.5,1036.1,353,20
3,0.2,0.9,-2.8,-4.8,65.5,46.9,55.9,63.2,3.8,6.3,6.7,6.7,1037.1,353,23
6,-1.0,0.2,-3.0,-5.0,70.3,45.8,52.8,61.4,3.6,5.7,6.4,6.4,1036.5,354,2
9,-1.4,-0.3,-3.3,-5.1,71.1,50.2,52.2,57.5,2.6,6.4,7.0,7.0,1035.1,354,5
12,-1.0,-0.9,-3.5,-4.8,71.9,56.7,52.4,49.7,2.2,4.0,5.8,5.8,1035.2,354,8
15,3.9,0.4,-3.4,-4.7,46.5,54.5,58.2,53.0,1.6,2.5,3.8,3.8,1034.9,354,11
18,5.5,2.6,-1.5,-3.6,39.1,43.8,55.8,63.0,0.8,1.2,1.6,1.6,1030.8,354,14
21,3.5,2.8,-1.1,-3.0,49.4,43.0,53.3,57.7,1.2,1.8,2.7,2.7,1029.7,354,17
24,1.3,2.6,-0.8,-2.5,60.6,43.5,52.6,55.9,1.8,3.6,4.5,4.5,1029.1,354,20
27,-0.3,2.6,-0.3,-1.8,70.9,45.2,56.6,57.5,0.8,1.4,5.9,5.9,1028.5,354,23
30,-1.5,2.4,-0.2,-1.6,78.0,48.5,58.7,58.7,0.7,1.8,4.7,4.7,1027.2,355,2
33,-2.2,2.0,-0.2,-1.4,82.8,51.6,58.1,55.0,0.3,1.6,4.6,4.6,1026.7,355,5
36,-1.2,1.9,0.1,-0.9,81.1,51.9,49.8,42.0,1.0,2.1,4.2,4.2,1027.0,355,8
39,6.0,3.3,0.6,-0.1,47.8,52.3,42.3,29.0,1.4,2.1,4.7,4.7,1027.2,355,11
42,8.4,6.1,2.0,0.7,36.6,38.4,45.9,32.7,0.7,1.4,2.6,2.6,1023.7,355,14
