fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,10.4,11.2,7.9,6.0,66.0,55.8,65.2,71.9,3.5,9.2,9.1,9.1,1028.1
3,10.3,10.1,7.7,6.0,65.1,60.2,65.0,69.9,2.9,8.8,10.9,10.9,1028.3
6,9.3,9.0,7.6,6.4,69.6,66.3,66.0,65.9,3.5,8.6,9.6,9.6,1027.4
9,8.4,8.0,7.3,6.4,75.8,73.3,68.7,67.3,3.5,9.2,10.6,10.6,1026.7
12,9.1,7.9,7.2,6.4,73.3,73.0,70.3,68.5,3.4,9.2,11.1,11.1,1028.3
15,13.3,10.5,7.1,6.3,56.9,64.1,72.3,73.0,3.4,5.9,11.8,11.8,1027.8
18,15.1,12.9,8.6,7.0,53.2,57.4,71.9,75.1,3.5,5.5,6.8,6.8,1024.6
21,13.5,13.1,9.2,7.5,60.7,58.1,70.2,74.8,2.6,6.7,8.7,8.7,1024.4
24,12.0,12.2,9.4,7.9,67.1,61.1,68.8,74.4,2.7,6.9,9.0,9.0,1025.3
27,11.6,11.2,9.6,8.5,71.2,67.7,71.7,75.8,2.7,7.8,12.0,12.0,1024.3
30,11.3,10.6,9.6,9.1,77.2,76.3,79.3,79.1,3.0,6.9,9.3,9.3,1023.1
33,10.8,10.1,9.7,9.2,90.4,85.9,81.9,82.0,1.5,4.6,6.9,6.9,1022.3
36,10.9,10.0,8.8,8.5,93.4,90.3,88.9,87.0,2.2,2.5,3.6,3.6,1022.9
39,11.4,10.0,7.7,7.1,91.8,94.8,95.6,94.4,4.2,5.7,6.0,6.0,1022.5
42,10.3,8.9,5.7,4.6,94.2,95.9,91.3,94.7,5.9,9.3,17.5,17.5,1022.2
