fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,18.4,21.9,19.3,17.2,73.0,53.5,53.6,58.2,3.1,4.9,5.3,5.3,1014.7,287,20
3,17.0,20.1,19.0,17.1,80.4,63.0,54.8,59.0,3.0,5.4,6.8,6.8,1015.5,287,23
6,16.0,18.8,18.9,17.0,84.7,67.8,53.9,57.7,2.1,5.3,8.2,8.2,1014.6,288,2
9,15.2,17.8,18.7,17.0,86.9,71.9,51.2,52.2,2.5,4.8,11.1,11.1,1014.5,288,5
12,17.8,17.4,18.6,17.0,79.6,73.2,45.4,41.1,1.0,3.6,7.6,7.6,1015.9,288,8
15,23.9,22.1,19.0,17.4,55.0,56.5,45.1,37.3,1.0,1.6,5.5,5.5,1016.1,288,11
18,26.0,24.9,20.6,18.3,37.7,35.2,40.7,44.8,2.1,2.9,4.5,4.5,1014.1,288,14
21,23.1,24.9,21.2,19.1,61.2,37.6,39.2,42.3,2.3,1.5,4.3,4.3,1014.4,288,17
24,19.0,23.7,20.9,18.9,67.2,40.9,40.0,42.4,2.5,2.7,3.4,3.4,1016.3,288,20
27,16.5,22.3,20.5,18.6,76.0,44.8,40.3,43.2,3.5,4.4,3.2,3.2,1017.5,288,23
30,15.1,21.2,20.2,18.3,80.9,47.1,41.2,43.9,2.8,4.8,5.1,5.1,1017.9,289,2
33,14.3,19.8,19.6,17.8,84.3,53.5,44.5,45.7,3.7,5.3,5.9,5.9,1018.6,289,5
36,17.4,18.9,19.0,17.3,78.3,59.0,48.0,48.6,2.9,3.8,3.8,3.8,1020.4,289,8
39,23.8,21.6,18.7,17.1,55.9,57.8,51.7,51.1,0.8,1.1,2.8,2.8,1020.5,289,11
42,25.6,24.0,19.6,17.4,44.3,43.6,52.1,57.1,1.9,2.3,2.5,2.5,1018.6,289,14
