fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,18.9,18.0,16.2,15.0,82.3,82.7,83.6,89.9,2.6,5.8,6.1,6.1,1020.7,279,20
3,18.6,17.7,16.1,15.0,87.3,86.8,90.2,95.6,3.3,5.7,7.0,7.0,1020.9,279,23
6,18.3,17.6,16.0,15.0,91.5,90.0,92.8,94.7,2.8,4.3,5.4,5.4,1020.0,280,2
9,18.1,17.4,15.5,14.7,94.3,93.3,95.5,96.1,4.3,5.5,3.3,3.3,1019.8,280,5
12,18.2,17.1,15.2,14.2,93.8,95.1,96.6,99.3,3.9,5.3,5.1,5.1,1021.0,280,8
15,19.1,17.5,15.2,14.2,88.4,93.1,95.0,98.3,4.1,4.8,6.1,6.1,1021.3,280,11
18,20.0,18.5,15.1,14.2,82.5,87.3,99.1,97.4,3.1,3.3,2.6,2.6,1019.3,280,14
21,19.5,18.5,15.1,14.1,85.3,87.7,98.2,97.9,3.7,4.1,3.7,3.7,1019.7,280,17
24,18.7,17.8,15.0,14.0,91.0,91.0,96.4,96.4,4.0,5.0,4.9,4.9,1020.8,280,20
27,18.1,17.3,15.0,13.9,94.3,93.8,95.5,95.7,4.1,5.2,5.2,5.2,1021.2,280,23
30,17.8,17.0,14.9,13.8,95.9,97.0,94.9,94.0,4.1,4.9,5.3,5.3,1020.8,281,2
33,17.6,16.8,14.6,13.4,96.0,96.9,95.7,96.1,5.0,6.1,6.5,6.5,1020.9,281,5
36,17.6,16.5,14.4,13.3,93.8,93.8,89.3,89.8,5.1,7.0,8.1,8.1,1022.9,281,8
39,17.6,16.1,14.1,13.0,85.9,85.2,75.6,79.0,4.7,6.3,8.1,8.1,1023.9,281,11
42,17.4,16.1,13.9,12.7,82.4,82.2,73.4,71.8,3.6,4.3,9.8,9.8,1022.2,281,14
