fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,14.7,14.3,12.8,11.9,94.6,88.5,75.1,73.9,1.8,2.9,6.6,6.6,1024.2,281,20
3,13.2,14.4,13.4,12.4,97.5,84.1,69.9,71.5,2.6,2.0,5.9,5.9,1024.2,281,23
6,12.8,14.4,13.6,12.3,97.9,80.8,73.8,78.9,2.7,2.9,6.3,6.3,1022.8,282,2
9,12.6,14.2,13.4,11.9,97.4,80.9,80.7,89.2,3.7,5.0,7.1,7.1,1022.6,282,5
12,14.3,13.6,13.1,11.6,92.2,85.4,86.2,92.8,2.9,4.5,6.5,6.5,1023.9,282,8
15,20.1,17.3,13.3,11.8,68.2,74.4,88.7,92.0,2.7,2.9,3.5,3.5,1023.3,282,11
18,22.1,19.9,15.6,13.5,57.5,59.6,72.2,79.4,2.5,2.4,3.1,3.1,1020.3,282,14
21,20.6,20.4,16.3,14.1,67.2,55.8,65.9,73.0,2.7,2.7,3.5,3.5,1019.7,282,17
24,16.5,19.2,15.7,13.6,78.6,58.3,66.0,72.1,2.9,5.0,3.8,3.8,1020.6,282,20
27,14.6,17.5,14.9,13.0,79.8,56.1,64.1,69.6,2.1,5.8,3.6,3.6,1021.1,282,23
30,13.2,16.6,14.4,12.6,78.3,51.8,57.8,62.7,2.1,4.8,3.4,3.4,1019.7,283,2
33,12.1,15.8,13.9,12.2,81.4,53.4,55.2,60.1,1.5,2.4,2.9,2.9,1019.0,283,5
36,15.2,15.3,13.7,12.1,73.7,57.7,54.4,56.3,2.3,2.8,1.7,1.7,1019.8,283,8
39,20.5,18.3,14.1,12.3,51.0,51.9,60.4,61.6,0.6,0.5,1.3,1.3,1019.6,283,11
42,22.1,20.4,16.1,13.9,45.4,44.6,54.4,59.5,0.2,0.3,1.1,1.1,1016.3,283,14
