fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,12.0,11.5,8.1,6.6,81.1,80.2,84.5,80.8,4.2,6.9,11.2,11.2,1018.0,82,20
3,11.3,10.8,7.5,6.4,58.4,56.0,48.0,37.6,5.6,8.4,13.3,13.3,1018.4,82,23
6,10.3,9.7,6.4,5.4,44.8,41.1,35.6,26.4,5.6,8.5,13.7,13.7,1019.6,83,2
9,9.4,8.8,5.6,4.5,41.2,37.9,33.3,26.6,6.3,9.1,15.1,15.1,1019.4,83,5
12,9.1,8.0,4.5,3.5,43.7,39.3,35.0,26.1,5.1,7.8,12.9,12.9,1022.1,83,8
15,8.9,7.3,3.5,3.4,45.2,41.5,38.6,20.8,4.1,6.8,11.3,11.3,1024.0,83,11
18,9.0,7.3,3.5,2.9,42.6,42.3,42.4,25.2,4.6,6.3,10.8,10.8,1022.6,83,14
21,9.3,7.8,3.7,3.0,41.7,42.2,48.5,27.3,3.8,5.5,8.3,8.3,1022.5,83,17
24,7.4,6.8,3.3,2.4,54.8,48.9,49.8,35.5,2.6,5.4,8.8,8.8,1023.8,83,20
27,5.7,6.1,3.1,3.1,65.5,52.9,44.7,23.0,2.9,5.5,8.2,8.2,1023.6,83,23
30,5.0,5.5,3.1,2.9,67.0,52.4,36.8,20.8,4.2,6.3,6.2,6.2,1023.7,84,2
33,5.6,5.0,3.4,3.2,60.1,52.3,21.8,12.7,2.7,4.5,7.8,7.8,1022.8,84,5
36,6.5,5.0,3.1,3.2,52.4,50.1,23.3,8.8,2.3,4.1,9.4,9.4,1024.0,84,8
39,9.5,6.9,3.2,3.5,40.1,41.0,34.1,10.1,2.4,3.5,6.8,6.8,1023.4,84,11
42,12.3,9.9,5.7,3.8,34.2,33.5,40.1,37.4,2.6,2.5,3.6,3.6,1020.4,84,14
