fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,3.4,6.6,3.1,1.8,53.8,33.5,34.8,26.7,2.1,2.0,1.6,1.6,1032.5
3,2.1,6.1,2.9,1.5,58.0,34.3,34.5,26.8,1.8,1.5,1.0,1.0,1033.1
6,0.3,5.6,2.5,1.3,66.5,35.1,35.4,27.4,2.1,2.2,1.3,1.3,1032.6
9,-1.1,5.1,2.2,1.0,74.3,36.0,37.4,29.6,2.3,2.9,2.0,2.0,1032.8
12,-0.0,4.7,2.0,0.8,71.1,35.4,37.4,29.9,1.5,4.6,4.2,4.2,1034.2
15,7.8,4.9,2.3,1.2,41.5,37.6,33.2,25.7,1.8,5.1,6.1,6.1,1034.1
18,10.1,7.4,3.3,1.6,30.2,30.9,37.4,32.0,3.0,4.5,5.4,5.4,1030.4
21,6.7,7.7,3.7,2.0,43.7,31.1,37.3,34.5,2.7,5.3,5.8,5.8,1030.5
24,4.7,6.7,3.4,2.1,47.2,32.6,36.9,31.9,2.8,9.1,8.9,8.9,1030.9
27,3.3,4.9,3.6,2.6,51.4,39.7,35.5,30.0,3.1,9.9,9.1,9.1,1030.9
30,2.1,3.6,4.0,3.0,62.4,52.4,37.8,34.0,2.5,8.8,8.2,8.2,1029.9
33,1.5,2.9,4.4,3.5,70.2,59.1,34.9,32.7,2.1,6.2,4.0,4.0,1028.6
36,1.5,3.0,4.7,3.7,74.5,57.5,34.3,32.3,1.9,4.7,4.5,4.5,1029.5
39,7.8,5.1,4.9,3.8,51.8,53.6,34.2,31.9,1.6,2.1,6.0,6.0,1029.0
42,11.6,9.1,5.2,3.7,36.6,38.0,43.2,35.3,1.5,2.9,5.6,5.6,1025.9
