fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,1.3,7.0,4.7,4.0,75.3,44.1,33.8,28.5,5.5,6.6,3.9,3.9,1030.5
3,1.0,6.7,5.5,4.6,76.2,43.5,26.9,25.6,5.0,6.9,5.4,5.4,1030.7
6,-0.3,6.4,6.3,5.5,80.2,42.4,25.1,24.1,5.7,7.4,6.4,6.4,1030.0
9,-0.0,6.4,7.1,6.8,79.5,41.7,24.9,20.2,4.0,5.5,4.1,4.1,1027.9
12,0.8,6.3,7.4,7.3,76.9,42.2,25.3,18.6,4.2,6.3,3.4,3.4,1028.5
15,7.3,6.4,7.4,7.2,57.9,44.7,27.6,19.9,3.0,6.4,6.5,6.5,1028.8
18,11.4,9.2,7.9,7.4,45.3,46.7,27.5,21.2,4.0,4.6,5.7,5.7,1025.8
21,7.9,9.6,7.7,7.4,63.8,46.4,33.6,23.4,2.4,3.7,2.6,2.6,1026.2
24,6.2,9.1,7.4,7.0,69.2,47.3,36.8,27.0,3.6,5.4,2.0,2.0,1027.7
27,5.4,8.5,7.4,6.9,72.4,47.3,37.4,29.3,2.3,4.5,2.0,2.0,1028.3
30,3.9,7.9,7.1,6.4,79.4,50.0,40.2,33.5,1.2,2.1,1.7,1.7,1028.2
33,2.0,7.0,6.6,5.9,86.0,53.7,41.7,33.5,1.5,0.7,3.7,3.7,1027.7
36,1.6,5.3,5.6,5.1,88.4,61.7,48.6,37.2,2.4,2.7,4.0,4.0,1030.0
39,7.9,4.9,5.3,5.2,63.7,71.6,49.5,36.6,2.6,3.4,2.7,2.7,1030.5
42,10.6,8.1,5.3,5.3,55.0,60.7,54.5,38.9,2.8,3.3,2.7,2.7,1027.6
