fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,14.5,15.3,12.0,10.1,71.6,66.4,74.9,81.1,3.6,6.8,7.4,7.4,1015.6,90,20
3,12.9,13.5,11.8,10.3,81.3,76.6,77.6,80.1,3.5,6.2,8.0,8.0,1016.1,90,23
6,11.3,12.4,12.0,10.7,90.8,84.3,76.4,77.4,2.6,4.9,4.6,4.6,1014.9,91,2
9,10.2,11.5,12.2,11.1,95.3,90.8,75.8,75.3,2.0,4.4,1.9,1.9,1014.0,91,5
12,13.1,11.6,12.2,11.2,85.2,90.5,75.4,74.9,2.4,4.0,0.6,0.6,1016.0,91,8
15,19.4,17.1,12.8,11.4,60.3,65.3,78.3,77.3,2.5,2.5,1.6,1.6,1015.7,91,11
18,22.3,20.5,16.0,13.8,46.9,48.4,59.2,66.0,1.3,1.3,1.2,1.2,1013.0,91,14
21,21.6,21.0,17.0,14.9,46.3,44.9,53.3,59.0,3.6,3.3,2.6,2.6,1012.2,91,17
24,16.5,18.7,16.3,14.4,64.9,53.5,54.4,58.1,2.9,6.0,6.9,6.9,1013.2,91,20
27,14.4,16.0,15.4,13.9,75.6,66.9,59.3,59.9,4.0,6.9,8.4,8.4,1014.6,91,23
30,12.6,14.1,15.1,13.9,88.3,79.7,60.2,57.0,3.4,6.2,6.4,6.4,1014.4,92,2
33,11.7,12.8,15.0,14.0,92.0,86.0,59.2,53.4,3.6,6.8,7.3,7.3,1014.4,92,5
36,14.5,13.1,14.6,13.7,77.9,81.9,60.2,53.1,4.0,6.7,10.1,10.1,1016.0,92,8
39,21.3,19.0,14.8,13.5,48.4,51.6,61.5,56.7,6.5,7.9,11.8,11.8,1015.4,92,11
42,23.8,22.2,17.6,15.4,39.9,40.5,50.1,55.1,6.9,8.3,10.1,10.1,1012.4,92,14
