fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,17.2,17.2,14.3,12.7,79.3,75.0,78.7,80.8,6.5,8.6,9.8,9.8,1021.2
3,15.9,15.7,13.6,12.4,86.2,81.2,79.6,77.5,4.2,8.0,11.4,11.4,1023.3
6,14.6,13.8,12.6,12.2,89.4,87.8,78.4,72.1,4.7,8.1,10.9,10.9,1023.6
9,12.9,11.7,9.7,10.5,86.9,88.7,82.3,68.9,6.6,9.4,12.4,12.4,1025.3
12,11.6,9.6,8.6,9.2,82.8,89.0,79.5,66.1,4.9,7.1,12.6,12.6,1028.8
15,11.9,9.3,7.7,8.7,77.8,85.4,69.1,60.4,5.1,6.4,11.4,11.4,1030.5
18,11.8,9.6,6.8,8.3,74.9,79.1,63.7,51.6,4.5,5.3,9.1,9.1,1029.6
21,11.2,9.3,5.7,6.7,75.7,78.1,78.1,53.3,3.3,4.7,7.6,7.6,1029.3
24,10.2,9.0,5.4,5.3,75.8,74.0,78.2,57.8,4.2,6.9,8.1,8.1,1031.1
27,9.4,8.4,5.6,4.7,71.6,65.0,55.4,49.2,4.5,7.9,10.8,10.8,1032.9
30,8.2,8.0,5.7,4.4,63.3,46.6,38.3,37.7,2.6,6.9,13.2,13.2,1033.1
33,7.6,7.6,5.5,4.5,59.0,42.7,38.6,32.2,3.8,6.9,11.7,11.7,1033.5
36,8.7,7.3,5.6,4.4,61.9,46.8,34.9,40.9,3.7,6.9,11.7,11.7,1035.2
39,11.8,8.5,4.9,4.1,49.9,52.3,45.8,39.4,3.3,4.3,8.6,8.6,1034.9
42,14.4,11.0,6.8,4.7,42.6,43.0,53.6,59.1,4.1,4.5,5.3,5.3,1031.7
