fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,4.8,7.4,4.3,3.4,72.9,52.2,48.7,30.8,3.2,3.3,4.1,4.1,1028.7,360,20
3,4.5,7.0,4.2,3.1,73.9,50.9,44.4,32.4,3.3,4.3,6.2,6.2,1030.3,360,23
6,3.4,6.6,3.9,2.8,77.2,49.3,45.0,36.2,3.6,5.1,7.2,7.2,1030.7,361,2
9,1.9,5.9,3.3,2.3,81.6,50.3,50.7,38.6,3.8,5.2,6.9,6.9,1031.1,361,5
12,2.2,4.8,2.5,1.8,79.8,55.2,51.9,37.3,3.3,5.6,6.4,6.4,1032.5,361,8
15,8.1,4.8,2.5,1.9,51.8,58.9,42.4,29.0,2.5,3.9,5.0,5.0,1033.4,361,11
18,10.3,7.4,3.2,1.6,38.3,41.9,50.6,43.1,2.8,3.2,4.0,4.0,1030.9,361,14
21,6.9,7.2,3.3,1.7,48.6,39.5,46.5,42.1,4.0,5.4,5.2,5.2,1030.9,361,17
24,3.4,5.8,3.0,1.8,56.6,37.1,39.4,26.8,5.3,8.1,5.5,5.5,1032.0,361,20
27,1.1,4.5,2.7,1.9,59.9,35.1,32.4,21.6,3.8,7.6,4.2,4.2,1033.1,361,23
30,-0.2,3.4,2.4,1.7,64.5,40.3,30.4,22.7,3.7,6.8,2.6,2.6,1033.3,362,2
33,-1.4,1.9,1.8,1.4,75.3,53.2,32.5,20.1,2.0,6.2,2.0,2.0,1032.5,362,5
36,-0.8,1.5,1.2,0.8,79.2,56.4,31.9,20.4,1.0,4.4,2.8,2.8,1034.9,362,8
39,5.7,2.4,1.3,0.9,53.1,59.1,25.6,19.9,0.4,0.8,2.8,2.8,1035.0,362,11
42,8.8,5.7,1.7,0.4,35.9,39.6,43.7,30.4,2.1,3.0,4.3,4.3,1032.3,362,14
