fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,12.1,14.0,10.6,9.4,67.9,53.0,60.9,52.3,3.3,8.9,8.3,8.3,1027.6,312,20
3,10.8,12.8,10.4,9.4,74.8,58.6,60.0,51.3,2.8,8.7,8.8,8.8,1028.4,312,23
6,9.7,11.5,10.3,9.7,80.6,66.3,60.1,47.3,2.9,8.7,7.5,7.5,1026.8,313,2
9,8.8,10.4,9.9,9.3,87.2,75.1,64.7,52.4,2.7,8.1,7.0,7.0,1026.0,313,5
12,10.8,10.2,9.5,8.7,82.0,78.0,68.2,57.9,3.2,9.0,8.7,8.7,1026.9,313,8
15,16.5,13.6,9.6,8.5,58.4,65.0,73.7,62.2,3.6,5.4,7.3,7.3,1026.4,313,11
18,18.0,15.8,11.4,9.3,52.9,56.2,70.2,76.6,3.2,4.8,5.4,5.4,1023.7,313,14
21,16.1,15.7,11.6,9.6,61.6,58.9,71.3,77.6,2.7,6.0,7.0,7.0,1023.3,313,17
24,14.6,14.6,11.6,9.9,67.7,63.6,70.6,74.2,3.0,7.2,8.8,8.8,1023.6,313,20
27,13.5,14.0,12.3,10.9,73.1,66.2,68.5,71.8,2.9,7.1,8.5,8.5,1024.0,313,23
30,12.8,13.2,12.3,10.9,77.6,72.9,76.1,81.0,2.8,8.1,9.4,9.4,1023.3,314,2
33,12.8,12.9,12.7,11.4,83.6,82.0,81.8,84.6,2.8,7.4,10.4,10.4,1022.2,314,5
36,13.7,12.9,12.9,11.7,83.8,85.9,83.4,88.0,1.6,5.6,9.6,9.6,1023.7,314,8
39,15.9,14.1,13.2,12.2,80.1,86.5,89.3,93.6,2.0,3.5,9.1,9.1,1023.8,314,11
42,17.0,15.3,13.5,12.9,84.5,89.1,92.1,91.3,2.9,3.4,7.4,7.4,1022.2,314,14
