fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,21.0,23.5,22.9,21.7,75.7,64.2,50.5,47.1,2.0,2.9,4.6,4.6,1008.5,90,20
3,18.8,19.7,20.2,19.8,73.5,70.1,61.8,62.4,6.2,8.3,10.5,10.5,1009.1,90,23
6,16.6,16.7,18.6,19.0,61.7,61.8,60.3,64.5,5.3,7.3,10.0,10.0,1009.4,91,2
9,14.9,14.9,15.5,17.3,68.3,67.1,67.2,65.2,1.4,2.9,8.8,8.8,1009.8,91,5
12,13.6,13.2,14.3,15.9,79.1,77.3,76.0,74.2,3.8,5.3,5.5,5.5,1010.8,91,8
15,16.1,14.9,14.2,15.3,73.3,75.6,76.9,75.6,1.8,2.6,4.4,4.4,1011.0,91,11
18,20.9,19.4,15.2,15.4,64.6,66.1,78.8,74.0,0.6,0.8,1.1,1.1,1010.0,91,14
21,21.3,20.9,16.9,16.3,65.1,64.3,75.7,70.1,0.8,1.1,1.5,1.5,1009.4,91,17
24,16.2,19.1,17.3,16.9,88.6,73.2,70.5,63.9,2.7,2.6,2.1,2.1,1010.7,91,20
27,14.9,17.7,17.5,17.3,92.8,79.2,65.1,60.5,2.5,4.4,3.8,3.8,1012.8,91,23
30,14.1,15.6,18.2,17.9,94.2,88.1,61.1,60.0,3.7,5.3,4.0,4.0,1012.6,92,2
33,13.5,14.4,18.0,17.7,95.4,92.9,62.0,60.9,3.9,5.3,5.6,5.6,1011.6,92,5
36,16.0,15.0,18.6,18.0,88.7,92.1,59.7,56.1,4.0,4.8,8.1,8.1,1012.2,92,8
39,23.0,21.3,19.5,18.8,67.1,69.8,54.6,50.7,4.9,5.4,11.7,11.7,1011.5,92,11
42,26.3,25.4,21.1,19.6,51.6,50.6,57.6,49.7,6.0,6.4,10.4,10.4,1007.8,92,14
