fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,6.1,8.8,6.0,4.9,64.4,47.1,45.1,38.4,4.1,7.9,6.6,6.6,1025.0
3,5.1,7.1,5.8,4.7,72.4,58.7,50.8,51.7,4.2,7.3,6.7,6.7,1024.9
6,5.5,6.4,5.9,4.9,75.1,66.8,61.5,67.6,3.0,5.1,5.7,5.7,1024.3
9,5.3,5.9,5.6,4.6,82.2,75.4,74.5,80.0,3.5,4.8,6.1,6.1,1023.1
12,5.0,5.7,5.4,4.5,88.8,80.7,79.7,83.0,4.1,5.5,6.0,6.0,1023.9
15,10.8,8.2,5.7,5.1,67.8,75.6,78.0,77.5,3.4,3.5,3.8,3.8,1024.1
18,14.0,11.8,7.6,5.7,56.7,61.2,76.1,80.8,1.5,1.5,2.6,2.6,1021.4
21,12.6,12.4,8.7,7.1,68.6,60.9,72.7,77.3,1.0,1.6,0.4,0.4,1021.4
24,8.4,11.8,8.8,7.5,84.4,65.8,73.6,77.1,1.9,2.4,2.1,2.1,1022.3
27,8.0,11.2,8.9,7.8,87.8,70.4,77.5,82.0,1.9,4.3,4.3,4.3,1022.7
30,7.7,10.3,9.1,8.3,91.4,77.4,81.8,86.9,1.5,3.7,4.4,4.4,1022.1
33,7.7,9.1,9.1,8.3,93.2,85.7,84.4,90.5,2.6,5.1,4.0,4.0,1021.1
36,8.1,8.0,9.1,8.3,94.6,93.8,87.0,92.0,3.5,7.1,6.7,6.7,1022.4
39,9.7,8.3,8.6,8.2,91.0,97.1,93.2,95.4,4.2,5.8,10.3,10.3,1022.6
42,10.3,9.1,7.7,8.3,92.1,95.8,98.8,98.2,3.6,5.4,9.4,9.4,1019.6
