fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,1.1,2.7,-0.8,-2.7,51.6,30.5,35.8,38.6,4.3,3.9,1.9,1.9,1032.3
3,-0.7,2.5,-0.8,-2.5,59.5,30.2,33.6,35.0,3.5,3.7,2.0,2.0,1032.8
6,-1.9,2.3,-0.6,-2.0,65.4,30.6,30.9,31.0,3.7,4.1,0.5,0.5,1032.2
9,-2.3,1.9,-0.6,-1.8,67.8,30.9,30.5,32.9,4.3,5.0,1.9,1.9,1031.5
12,0.0,1.7,-0.6,-1.9,63.4,29.6,30.9,35.8,4.6,5.8,2.3,2.3,1032.8
15,6.3,3.1,-0.3,-1.6,37.3,36.8,33.8,38.3,2.7,2.7,2.2,2.2,1033.3
18,8.2,5.2,1.1,-0.9,35.3,34.3,42.6,47.9,2.0,1.6,1.3,1.3,1030.9
21,7.4,5.8,1.8,-0.2,43.1,35.0,43.7,48.9,2.3,2.2,1.2,1.2,1030.5
24,3.2,5.4,1.8,-0.1,55.4,35.2,43.4,47.7,2.4,2.2,1.7,1.7,1031.5
27,0.6,5.1,1.8,0.2,64.8,35.3,42.5,45.5,3.5,3.7,2.3,2.3,1032.3
30,0.1,4.7,1.8,0.3,67.5,35.8,41.9,46.4,2.5,2.8,2.5,2.5,1032.5
33,0.5,4.3,1.8,0.2,68.9,35.7,42.8,49.3,1.4,2.8,4.6,4.6,1032.1
36,2.0,4.1,1.6,-0.0,66.9,35.8,44.2,51.7,1.0,2.6,4.7,4.7,1034.4
39,6.0,3.7,1.1,-0.5,51.8,41.6,47.5,55.3,1.1,2.8,4.8,4.8,1035.5
42,7.3,4.7,0.9,-0.9,46.0,47.1,55.2,59.2,1.0,2.1,3.6,3.6,1033.2
