fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,-2.4,-2.1,-5.3,-7.3,39.0,26.6,27.1,29.2,4.6,9.8,13.9,13.9,1039.2
3,-3.3,-2.3,-5.1,-6.9,43.4,26.0,21.1,21.2,3.8,10.3,15.0,15.0,1038.8
6,-4.1,-2.5,-4.8,-6.4,44.7,23.0,16.9,17.7,3.1,8.6,13.2,13.2,1036.8
9,-4.7,-2.3,-4.0,-5.5,47.3,21.4,17.6,18.6,2.3,6.4,10.1,10.1,1034.4
12,-3.2,-1.6,-3.8,-5.4,47.6,21.3,18.8,19.8,2.3,6.7,8.7,8.7,1034.1
15,3.6,0.4,-2.9,-4.6,27.9,27.9,19.1,19.0,2.3,3.9,8.1,8.1,1032.9
18,6.3,3.6,-0.6,-2.7,21.3,19.8,24.9,28.3,3.3,4.8,5.7,5.7,1028.9
21,2.5,4.5,0.7,-1.2,39.6,21.6,24.7,26.8,3.4,4.4,5.7,5.7,1027.2
24,0.2,3.8,1.2,-0.2,49.1,27.4,24.8,23.5,7.6,8.9,5.8,5.8,1027.0
27,-1.3,2.7,1.7,0.4,59.7,35.3,24.3,21.6,5.5,7.3,5.9,5.9,1026.5
30,-2.2,2.5,2.5,1.4,68.8,36.7,21.1,20.4,4.0,4.4,5.4,5.4,1026.3
33,-2.9,2.6,3.3,2.3,75.6,35.6,19.9,20.0,4.3,4.3,3.3,3.3,1025.3
36,-1.3,3.1,3.5,2.6,72.8,33.7,19.3,20.3,5.2,6.6,1.8,1.8,1026.3
39,6.4,4.0,4.2,3.2,50.2,44.4,17.0,18.4,3.8,6.0,4.4,4.4,1026.1
42,9.8,7.7,4.4,3.8,35.6,35.5,24.3,15.7,4.3,4.5,5.1,5.1,1023.8
