fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,14.0,17.6,15.4,13.9,60.1,42.4,40.2,39.6,5.5,6.7,7.5,7.5,1019.9
3,12.4,16.4,15.6,14.1,70.2,48.9,40.3,42.2,5.1,6.6,8.8,8.8,1020.3
6,10.6,15.9,15.6,14.1,79.3,49.9,41.6,44.9,4.0,4.6,6.0,6.0,1020.2
9,9.8,15.6,15.2,13.8,82.9,49.4,45.3,46.9,2.7,3.6,4.6,4.6,1020.4
12,12.9,15.8,15.0,13.4,72.9,48.2,48.7,49.9,1.6,2.7,5.5,5.5,1021.8
15,20.6,18.2,15.0,13.4,46.3,48.8,51.7,53.4,0.6,1.3,3.6,3.6,1022.1
18,22.5,20.6,16.3,14.1,40.9,42.2,51.8,57.2,0.2,0.7,1.2,1.2,1019.6
21,19.2,20.6,16.6,14.4,57.1,42.3,51.1,56.7,0.7,0.8,1.7,1.7,1020.2
24,15.4,19.7,16.2,14.2,68.4,44.6,51.7,56.9,1.4,2.4,2.9,2.9,1021.7
27,13.7,18.4,15.8,13.9,73.9,47.5,52.2,57.7,3.6,5.2,3.3,3.3,1022.3
30,12.5,16.4,15.3,13.6,77.1,54.8,52.1,57.7,2.6,7.0,4.7,4.7,1022.2
33,11.4,14.9,14.8,13.2,83.4,62.9,53.6,57.3,2.8,6.8,5.4,5.4,1022.4
36,13.5,14.0,14.4,12.9,77.8,69.9,57.4,58.2,2.7,7.2,6.2,6.2,1023.8
39,20.3,17.5,14.4,13.0,55.2,61.1,59.7,57.5,2.6,4.3,7.1,7.1,1023.7
42,22.6,20.5,16.1,13.9,45.0,47.5,58.8,64.7,2.8,4.1,4.8,4.8,1020.8
