fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,3.6,5.9,2.4,0.6,54.7,30.4,35.9,36.7,1.2,1.1,0.8,0.8,1030.0
3,1.6,5.5,2.2,0.8,65.0,31.7,34.8,32.2,2.2,2.0,0.3,0.3,1030.5
6,0.4,5.0,2.3,1.3,69.6,34.3,33.2,29.3,2.2,3.6,1.8,1.8,1028.0
9,-0.1,4.6,2.5,1.4,73.6,38.2,32.9,31.5,1.9,3.5,3.4,3.4,1027.3
12,2.0,4.8,3.4,2.1,68.8,36.3,32.2,34.1,2.6,5.7,5.4,5.4,1027.6
15,10.0,7.2,4.5,3.3,38.1,39.3,32.3,33.9,2.7,4.3,7.7,7.7,1026.1
18,13.1,11.0,6.7,4.7,31.6,31.0,38.3,41.5,4.1,5.9,7.3,7.3,1022.6
21,9.3,11.4,7.8,5.7,45.3,32.2,36.1,39.3,2.4,6.1,9.3,9.3,1022.7
24,6.3,10.4,7.9,6.0,58.6,37.9,36.8,39.5,2.8,7.1,11.0,11.0,1023.4
27,4.7,9.2,7.8,5.9,67.2,40.5,29.6,28.9,2.7,8.7,12.5,12.5,1024.1
30,3.5,7.9,7.3,5.6,68.3,39.9,25.0,24.1,2.7,8.8,10.0,10.0,1024.4
33,2.1,6.6,6.9,5.7,70.0,39.0,23.3,20.7,2.6,8.2,7.1,7.1,1024.5
36,3.4,6.2,6.6,5.6,65.2,36.0,22.6,20.1,2.5,7.6,5.4,5.4,1026.2
39,10.6,7.8,6.5,5.7,39.2,40.5,22.7,19.9,2.4,3.9,6.1,6.1,1026.6
42,13.2,10.9,7.2,6.3,32.3,31.7,31.1,22.1,2.4,3.4,4.4,4.4,1025.0
