fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,6.4,8.1,8.0,7.0,50.9,41.7,33.7,33.8,4.9,11.5,11.1,11.1,1023.4
3,4.7,6.4,9.0,7.9,57.2,48.4,31.6,32.7,4.6,10.9,11.5,11.5,1022.8
6,3.0,5.9,9.4,8.4,73.6,56.7,28.9,29.6,3.2,8.4,8.8,8.8,1022.5
9,1.6,5.1,9.4,8.5,84.9,62.6,27.8,28.5,2.6,7.1,7.3,7.3,1022.1
12,2.1,5.2,9.4,8.4,84.5,61.2,30.0,32.8,2.6,6.3,6.9,6.9,1022.9
15,10.5,8.2,9.7,8.7,51.8,55.2,33.9,36.7,2.4,3.4,6.2,6.2,1023.3
18,14.7,13.0,9.7,9.0,40.5,41.3,43.8,41.7,2.7,3.5,5.0,5.0,1020.2
21,12.2,13.7,10.3,9.2,58.4,42.0,47.9,48.1,1.7,3.3,5.1,5.1,1019.9
24,9.7,13.3,10.6,9.2,65.8,45.1,49.2,52.1,1.7,2.6,3.6,3.6,1020.7
27,8.6,12.3,10.6,9.5,76.6,53.3,52.8,55.1,1.5,3.2,3.5,3.5,1020.7
30,7.5,11.1,10.8,9.7,86.5,64.1,57.1,58.7,1.4,2.7,2.8,2.8,1020.4
33,7.4,10.1,10.7,9.8,89.8,72.3,59.6,59.5,0.9,2.1,2.4,2.4,1019.7
36,7.6,9.4,10.1,9.4,90.0,76.6,64.9,62.8,1.5,2.2,2.0,2.0,1020.7
39,10.8,9.4,9.8,9.1,77.2,79.5,67.2,64.5,1.5,2.7,2.1,2.1,1021.2
42,13.1,11.7,9.4,8.7,65.5,69.5,69.8,67.5,1.3,2.0,2.1,2.1,1018.8
