fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,0.7,5.1,2.2,0.7,55.1,28.6,31.9,34.5,2.0,1.3,2.6,2.6,1026.2
3,-1.3,4.6,1.9,0.5,65.7,29.0,32.3,33.7,2.2,2.5,3.4,3.4,1027.5
6,-2.0,3.9,1.4,0.0,69.0,29.0,29.9,30.1,3.1,3.6,5.1,5.1,1028.2
9,-2.4,2.5,0.6,-0.6,65.9,28.9,28.4,29.9,5.3,6.2,6.3,6.3,1028.6
12,-2.0,-0.8,-0.8,-1.3,59.1,33.3,28.5,24.2,5.4,7.9,6.4,6.4,1030.7
15,3.0,-0.2,-1.7,-1.6,34.0,36.6,21.1,15.9,2.3,2.9,6.6,6.6,1031.7
18,5.3,2.4,-1.7,-2.2,26.8,27.7,32.1,17.0,3.0,3.2,3.9,3.9,1029.1
21,1.4,2.5,-1.0,-1.3,43.7,27.6,26.2,13.8,3.7,3.7,3.9,3.9,1029.3
24,-1.8,1.6,-0.9,-0.7,55.2,28.0,19.6,12.3,5.3,5.1,4.2,4.2,1029.9
27,-3.0,0.8,-1.3,-1.0,62.0,28.7,21.8,16.9,3.8,5.0,3.4,3.4,1030.6
30,-3.1,0.2,-1.7,-1.2,63.8,30.0,24.9,19.6,2.4,3.6,1.8,1.8,1030.5
33,-4.0,-0.2,-2.0,-1.5,68.9,31.5,26.7,21.9,2.3,3.1,2.4,2.4,1030.5
36,-2.8,-0.5,-2.3,-2.0,61.8,31.6,29.9,26.3,1.4,3.1,2.7,2.7,1031.6
39,3.7,0.6,-2.1,-1.6,32.3,35.2,30.7,27.3,1.2,1.7,2.5,2.5,1031.8
42,5.9,3.1,-0.9,-1.4,31.6,33.2,40.2,30.0,0.8,1.7,2.6,2.6,1029.1
