fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,12.5,12.4,10.2,9.1,68.5,65.5,70.4,72.8,5.0,10.2,9.8,9.8,1024.1
3,8.5,7.1,7.6,7.8,77.8,81.2,76.7,74.8,5.6,11.0,11.3,11.3,1026.5
6,6.6,4.9,4.2,5.0,75.4,80.5,78.0,79.9,5.4,10.1,14.0,14.0,1028.2
9,5.5,3.7,1.4,2.6,70.2,75.8,71.6,70.7,4.6,9.0,13.7,13.7,1029.5
12,5.0,2.8,0.8,1.6,64.9,71.9,55.8,56.8,4.8,8.7,13.8,13.8,1031.9
15,6.9,3.7,0.4,1.9,50.8,57.5,56.3,41.1,4.1,6.3,8.6,8.6,1033.4
18,9.4,6.3,2.2,0.7,41.0,44.4,55.6,52.7,3.7,5.3,5.9,5.9,1030.7
21,8.6,6.8,2.8,0.8,42.6,41.7,51.5,55.9,3.3,6.0,6.7,6.7,1030.5
24,5.7,5.5,2.0,0.6,52.5,45.7,52.7,49.9,2.6,7.9,8.7,8.7,1031.4
27,4.2,4.1,1.6,1.5,59.9,54.4,58.3,36.1,2.9,8.5,9.4,9.4,1030.7
30,2.5,2.5,2.0,3.5,69.6,64.7,55.0,17.3,3.3,8.4,7.4,7.4,1030.3
33,1.1,1.2,2.9,4.4,79.3,74.8,39.9,10.0,3.1,8.2,7.5,7.5,1028.9
36,1.7,0.5,3.6,5.1,80.6,82.9,25.0,7.3,3.5,8.2,8.0,8.0,1029.7
39,7.7,4.4,4.9,6.1,57.4,65.0,18.0,6.2,3.8,5.3,8.1,8.1,1028.5
42,11.8,9.1,5.2,6.8,44.9,47.2,54.4,9.5,3.2,4.5,5.6,5.6,1024.5
