fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,14.8,17.9,17.1,15.7,74.7,60.7,52.5,53.1,4.9,5.6,9.6,9.6,1014.2,343,20
3,14.2,16.9,16.4,14.8,77.1,62.9,55.9,58.5,3.0,4.6,7.7,7.7,1015.3,343,23
6,14.4,15.1,16.0,14.5,69.9,64.6,50.3,53.2,2.6,6.0,8.5,8.5,1015.6,344,2
9,13.0,12.8,13.9,13.3,72.7,72.2,56.1,56.6,5.9,8.1,11.3,11.3,1016.1,344,5
12,12.0,11.1,11.3,11.8,83.2,86.4,70.0,63.1,6.0,9.2,13.7,13.7,1018.1,344,8
15,13.3,11.7,9.2,10.6,81.2,87.8,92.8,71.3,6.6,8.6,10.1,10.1,1019.0,344,11
18,14.3,13.0,9.2,8.6,77.0,82.2,98.8,98.3,5.8,7.0,8.0,8.0,1017.5,344,14
21,12.7,11.8,8.2,8.1,80.5,82.9,97.5,99.8,6.9,8.7,14.2,14.2,1017.7,344,17
24,10.8,10.0,6.9,7.5,86.7,86.5,99.3,99.8,6.9,9.3,14.8,14.8,1018.5,344,20
27,9.9,9.1,6.5,7.2,92.1,91.6,99.8,99.8,5.2,7.2,13.1,13.1,1017.8,344,23
30,9.3,8.5,6.2,6.6,93.6,94.5,99.6,99.7,6.4,7.0,10.0,10.0,1017.1,345,2
33,8.0,7.0,4.6,4.8,93.9,95.2,99.5,99.8,8.1,8.5,11.5,11.5,1017.9,345,5
36,5.0,3.7,1.6,2.5,91.6,93.8,95.4,99.3,7.7,9.3,15.2,15.2,1021.5,345,8
39,4.8,3.0,0.4,1.8,83.1,87.9,94.9,96.4,8.1,9.0,11.5,11.5,1023.6,345,11
42,5.6,3.8,0.0,0.1,75.2,81.3,98.4,97.9,7.7,8.5,9.1,9.1,1022.8,345,14
