fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,17.8,17.8,15.2,14.1,92.5,89.1,93.7,94.5,2.0,5.1,10.0,10.0,1016.4
3,17.2,17.1,14.9,13.7,92.5,90.1,91.5,93.2,3.3,6.8,11.4,11.4,1017.0
6,16.2,16.3,14.6,13.5,94.2,91.5,92.1,92.1,2.2,5.9,11.0,11.0,1016.8
9,16.3,15.9,14.3,13.4,93.8,94.4,97.2,94.2,3.1,6.4,10.9,10.9,1016.6
12,12.3,11.0,9.5,10.1,89.7,91.9,97.0,96.5,8.8,13.2,13.8,13.8,1019.7
15,8.6,6.6,3.4,5.4,78.7,84.8,98.2,97.3,10.3,15.4,18.9,18.9,1022.2
18,5.9,4.3,0.6,1.0,88.3,89.8,96.7,93.2,8.7,13.2,21.9,21.9,1022.6
21,4.8,3.1,-0.3,0.4,89.3,92.4,95.4,88.3,8.6,13.0,20.7,20.7,1024.7
24,4.3,2.6,-0.8,-1.8,84.8,87.4,89.3,82.7,7.6,12.6,19.2,19.2,1027.1
27,4.1,2.6,-0.9,-2.1,69.1,70.4,73.4,70.2,5.8,11.3,16.1,16.1,1028.4
30,3.3,1.9,-1.8,-3.4,61.7,62.8,69.3,68.1,5.2,9.8,13.7,13.7,1028.8
33,2.0,1.0,-2.4,-4.1,58.4,56.1,58.5,54.6,4.6,9.3,13.6,13.6,1029.2
36,2.6,0.5,-2.1,-3.6,54.6,52.0,37.6,32.4,4.0,8.0,12.0,12.0,1030.0
39,6.6,3.4,-0.9,-2.8,34.6,34.7,42.9,43.6,4.2,5.9,6.9,6.9,1029.6
42,8.7,5.9,1.7,-0.4,32.8,31.7,39.6,44.4,4.3,6.0,6.8,6.8,1026.8
