fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,19.2,18.9,16.7,15.6,85.2,80.6,77.9,78.8,3.1,5.6,9.7,9.7,1015.9
3,18.8,18.5,16.8,15.9,88.5,83.9,78.3,79.6,3.5,5.8,10.3,10.3,1015.9
6,18.5,18.2,16.3,15.7,91.1,88.1,84.3,83.9,3.4,5.0,8.8,8.8,1014.4
9,18.3,18.0,16.0,15.5,93.2,90.6,87.8,88.1,2.9,4.5,5.8,5.8,1014.2
12,18.7,17.9,15.8,15.2,91.8,92.2,88.9,90.1,3.1,4.5,5.0,5.0,1015.9
15,21.4,19.8,16.0,14.7,76.5,80.0,92.2,95.3,2.8,3.8,3.6,3.6,1016.2
18,22.6,21.3,17.1,15.2,71.7,73.7,88.8,95.9,1.9,2.8,3.4,3.4,1014.3
21,22.4,21.8,17.6,15.7,73.0,72.2,87.1,93.7,2.3,3.0,3.9,3.9,1014.3
24,20.9,21.2,17.7,15.8,81.1,75.4,84.9,90.4,2.5,4.1,5.4,5.4,1015.2
27,20.2,20.4,17.6,15.7,83.6,78.8,84.1,90.0,2.1,4.7,6.2,6.2,1016.0
30,19.5,19.5,17.6,15.8,85.3,82.1,80.6,87.4,2.4,4.3,5.5,5.5,1015.4
33,19.4,19.1,17.8,16.1,82.2,80.6,74.7,82.5,2.5,4.6,6.1,6.1,1015.5
36,20.0,18.9,17.5,15.9,76.4,77.3,71.7,78.7,3.3,5.2,7.0,7.0,1017.4
39,22.6,21.0,17.5,16.0,64.5,66.1,69.5,73.8,3.3,4.5,8.1,8.1,1017.1
42,24.2,23.0,18.6,16.6,58.7,58.6,71.5,76.5,3.6,4.3,5.3,5.3,1015.4
