fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,17.7,18.1,15.9,14.7,75.3,71.2,71.9,67.1,2.5,5.7,8.0,8.0,1014.9
3,16.5,17.0,15.7,14.5,85.9,80.6,78.9,78.6,1.7,3.9,6.7,6.7,1015.3
6,16.0,16.1,15.2,14.3,93.4,88.8,84.7,83.5,1.6,3.3,2.2,2.2,1014.0
9,15.8,15.5,14.4,13.6,95.9,94.4,90.4,89.2,1.7,2.9,1.6,1.6,1014.1
12,16.4,15.5,14.5,13.9,94.0,96.7,90.4,86.9,1.7,2.5,2.8,2.8,1014.5
15,19.7,18.2,14.2,13.3,77.4,81.2,96.8,95.7,1.7,2.2,2.1,2.1,1014.0
18,21.2,20.2,16.1,14.2,69.5,71.1,85.6,92.1,0.7,1.2,2.5,2.5,1011.5
21,20.1,20.2,16.4,14.5,76.2,72.2,83.9,90.8,0.9,2.0,4.4,4.4,1011.3
24,17.9,19.2,16.3,14.5,85.8,77.4,83.7,88.9,2.1,2.8,5.1,5.1,1012.2
27,16.9,17.5,15.8,14.3,90.8,87.0,86.6,88.7,2.3,4.7,4.5,4.5,1012.8
30,15.8,16.1,15.6,14.2,96.8,96.1,87.7,87.8,2.1,4.1,3.7,3.7,1012.2
33,15.6,15.4,15.3,13.9,98.4,99.1,88.4,88.1,2.6,3.7,3.4,3.4,1012.3
36,16.1,15.3,14.7,13.6,95.3,98.3,91.5,89.0,3.4,4.4,5.2,5.2,1014.3
39,19.3,17.7,14.0,13.4,78.9,83.4,97.6,91.8,2.6,3.2,2.7,2.7,1014.5
42,21.1,20.0,15.7,13.9,69.1,71.0,86.1,92.4,2.4,2.8,3.4,3.4,1012.8
