fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,0.7,3.6,0.1,-0.5,55.6,39.1,44.4,33.2,1.7,2.6,2.7,2.7,1029.8,359,20
3,0.1,3.2,-0.1,-0.8,67.2,39.9,45.1,35.7,2.6,2.3,2.7,2.7,1030.7,359,23
6,1.1,2.7,-0.3,-1.4,64.9,41.4,45.8,39.9,2.5,3.1,3.2,3.2,1029.8,360,2
9,0.9,2.0,-0.7,-2.2,67.2,47.0,46.6,47.7,1.9,2.3,3.2,3.2,1029.6,360,5
12,1.0,1.3,-0.9,-2.3,69.0,51.8,47.2,46.7,1.9,1.6,2.4,2.4,1030.2,360,8
15,4.8,1.9,-0.9,-2.1,49.5,55.2,47.4,44.8,2.3,2.4,1.9,1.9,1031.4,360,11
18,7.0,4.2,0.1,-1.7,40.2,44.1,54.6,55.5,1.4,1.7,2.1,2.1,1029.0,360,14
21,4.0,4.4,0.5,-1.3,56.0,44.6,55.1,59.7,2.6,2.7,2.7,2.7,1029.3,360,17
24,0.9,3.7,0.3,-1.4,69.1,48.2,57.1,60.6,3.2,4.1,3.0,3.0,1030.4,360,20
27,-0.7,3.1,0.1,-1.3,78.3,51.9,58.3,59.0,3.0,4.8,2.8,2.8,1031.2,360,23
30,-1.6,2.4,-0.0,-1.1,82.9,55.6,58.3,57.6,2.6,5.1,1.7,1.7,1031.6,361,2
33,-2.2,1.7,-0.2,-1.1,85.5,58.6,59.2,57.9,2.2,5.4,1.9,1.9,1031.1,361,5
36,-0.7,1.2,-0.5,-1.4,80.4,61.6,59.9,60.2,1.5,5.0,2.8,2.8,1032.4,361,8
39,5.0,2.0,-0.4,-1.2,56.1,63.1,60.2,62.1,1.0,2.8,2.9,2.9,1032.3,361,11
42,6.8,4.1,0.1,-1.4,49.5,55.1,68.7,70.4,2.5,2.5,3.2,3.2,1030.1,361,14
