fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,4.1,8.3,6.0,4.7,76.2,52.9,47.5,43.3,6.1,7.2,6.2,6.2,1026.2
3,2.4,7.1,6.5,5.3,83.3,56.1,42.2,39.5,3.0,6.1,9.4,9.4,1027.3
6,0.9,6.1,6.9,5.6,86.2,57.1,39.9,39.7,1.8,5.4,10.9,10.9,1027.3
9,-0.4,5.5,7.3,5.9,88.8,56.9,37.7,36.5,2.0,4.0,9.5,9.5,1026.6
12,1.1,5.8,7.5,6.0,86.1,53.0,37.2,38.5,3.1,2.9,7.1,7.1,1028.2
15,10.0,7.3,7.8,6.5,57.8,55.9,35.6,37.9,2.5,4.8,4.7,4.7,1028.4
18,14.4,12.0,8.6,7.3,43.9,45.2,40.9,36.4,3.8,4.0,5.9,5.9,1025.0
21,12.7,12.8,9.6,8.2,59.3,47.9,48.9,48.0,4.3,5.2,5.9,5.9,1024.1
24,8.6,11.3,8.8,7.0,70.1,55.1,56.4,56.3,5.5,10.0,12.5,12.5,1026.3
27,6.2,9.5,7.4,5.6,81.5,63.4,57.4,52.4,5.4,11.6,13.0,13.0,1028.5
30,3.3,8.4,6.6,5.2,91.0,66.7,51.7,40.2,4.0,8.1,8.5,8.5,1029.3
33,1.2,7.9,6.3,4.7,94.0,65.5,44.4,37.9,3.2,5.7,6.3,6.3,1029.0
36,2.6,7.8,6.1,4.5,92.3,60.9,39.1,35.6,1.2,4.0,4.4,4.4,1031.1
39,11.5,8.6,6.5,4.7,60.8,60.8,35.4,32.5,1.1,2.4,3.3,3.3,1031.5
42,14.6,11.9,7.7,5.6,37.3,37.4,44.9,48.5,2.6,2.9,3.8,3.8,1028.4
