fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,4.6,4.1,1.1,-0.1,90.6,85.1,89.7,91.9,1.5,2.9,5.5,5.5,1023.7,43,20
3,4.4,4.0,1.0,-0.1,93.2,84.5,91.9,94.6,1.6,3.0,3.4,3.4,1023.7,43,23
6,4.1,3.7,0.9,-0.3,93.7,87.4,94.2,97.3,2.7,5.8,3.5,3.5,1022.4,44,2
9,3.9,3.6,1.1,-0.3,94.0,90.1,92.6,97.0,1.6,4.2,5.6,5.6,1022.0,44,5
12,4.3,3.6,1.2,-0.2,93.6,91.3,91.0,94.6,1.8,3.7,4.4,4.4,1023.9,44,8
15,6.3,4.3,1.3,-0.2,82.7,89.0,88.5,90.0,2.6,3.9,5.1,5.1,1024.0,44,11
18,8.6,6.5,2.5,0.6,63.0,67.2,82.3,89.3,1.8,2.5,3.0,3.0,1021.6,44,14
21,8.3,7.2,3.3,1.3,64.2,62.8,76.9,85.4,2.2,1.9,2.0,2.0,1021.9,44,17
24,6.1,7.0,3.3,1.4,76.7,64.0,74.9,82.4,0.8,0.7,2.6,2.6,1023.4,44,20
27,3.5,6.6,3.2,1.2,86.4,65.7,74.5,81.7,2.2,2.7,1.7,1.7,1024.4,44,23
30,2.1,6.2,3.0,1.0,90.4,66.4,74.0,81.6,2.2,2.1,0.8,0.8,1024.1,45,2
33,0.7,5.7,2.8,0.8,93.7,68.9,74.4,82.3,2.1,3.3,1.7,1.7,1023.9,45,5
36,2.2,5.4,2.6,0.6,91.3,69.7,74.9,82.4,1.3,2.2,1.3,1.3,1025.0,45,8
39,9.7,7.0,2.9,1.0,59.1,63.0,75.4,82.7,0.9,1.6,1.9,1.9,1025.8,45,11
42,10.8,8.6,4.4,2.3,53.2,54.9,68.6,76.8,2.0,2.3,2.9,2.9,1023.5,45,14
