fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,21.2,23.5,22.5,20.8,63.0,53.1,47.9,48.0,7.7,7.0,8.4,8.4,1012.9,306,20
3,19.0,22.2,22.3,20.6,73.2,58.3,47.9,49.5,4.1,4.9,6.4,6.4,1013.6,306,23
6,17.3,21.2,22.1,20.4,81.8,62.8,46.4,48.2,2.8,3.5,5.9,5.9,1012.9,307,2
9,16.2,20.2,21.7,20.0,87.5,66.8,48.9,52.5,2.6,3.0,4.5,4.5,1012.9,307,5
12,19.1,20.1,21.2,19.5,77.7,66.8,52.3,57.2,1.5,1.8,3.8,3.8,1014.3,307,8
15,25.8,24.1,20.9,19.3,53.2,55.3,56.2,59.7,0.3,0.3,2.0,2.0,1014.3,307,11
18,27.8,26.5,22.0,19.8,46.5,46.9,57.8,64.0,0.5,0.8,1.1,1.1,1012.2,307,14
21,24.9,26.0,22.0,19.9,59.3,49.4,57.6,63.5,0.9,1.5,1.1,1.1,1012.7,307,17
24,21.0,21.8,19.3,18.0,75.8,69.2,72.3,74.7,8.8,7.1,6.2,6.2,1014.4,307,20
27,19.4,19.2,18.5,17.7,85.8,85.4,77.4,76.1,5.7,6.7,6.8,6.8,1015.5,307,23
30,18.4,18.3,17.7,17.2,92.0,90.9,82.6,78.8,3.4,3.4,5.0,5.0,1015.4,308,2
33,17.9,17.6,16.7,16.8,94.3,94.7,87.4,79.8,4.3,4.3,3.5,3.5,1015.1,308,5
36,18.9,17.7,16.2,16.6,88.9,94.0,88.5,78.9,3.4,3.6,2.6,2.6,1016.1,308,8
39,22.5,20.7,16.6,16.2,70.6,76.3,90.4,82.9,1.3,1.7,2.1,2.1,1016.0,308,11
42,24.5,23.1,18.8,16.8,61.8,65.0,78.6,84.3,0.2,0.6,1.4,1.4,1013.3,308,14
