fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,13.1,12.6,10.2,9.0,90.0,90.8,94.1,95.7,1.7,3.6,4.8,4.8,1021.0
3,12.9,12.6,10.6,9.3,92.7,93.5,92.4,93.7,2.0,4.6,5.0,5.0,1021.2
6,12.7,12.6,10.8,9.6,94.9,95.5,93.5,93.5,1.9,4.6,4.2,4.2,1020.9
9,12.9,12.5,10.9,9.6,95.0,96.8,97.7,96.6,2.7,5.8,6.0,6.0,1020.7
12,13.8,12.5,10.8,9.7,90.3,95.9,99.2,99.0,3.1,5.0,6.4,6.4,1022.5
15,15.8,13.8,10.9,10.2,80.9,88.5,99.5,98.3,3.8,5.5,6.3,6.3,1022.0
18,16.9,15.2,11.4,10.3,76.5,82.3,98.7,99.6,2.8,3.9,3.7,3.7,1020.0
21,16.0,15.0,11.7,10.7,83.0,85.4,98.7,99.2,2.3,4.4,4.4,4.4,1020.6
24,14.9,14.6,12.2,11.1,90.8,89.1,98.2,99.3,3.1,4.3,4.7,4.7,1021.5
27,14.6,14.3,12.4,11.4,94.0,91.2,98.3,98.2,4.0,4.1,3.5,3.5,1021.4
30,14.2,13.9,12.4,11.4,95.9,93.8,98.2,95.6,4.1,4.3,1.0,1.0,1020.7
33,13.8,13.1,11.9,10.9,96.5,97.5,96.9,93.7,4.4,5.8,6.5,6.5,1020.5
36,13.8,12.5,11.6,10.6,94.0,98.4,92.5,89.3,4.4,5.8,7.4,7.4,1021.5
39,17.0,14.8,11.1,10.3,75.0,82.4,95.2,88.3,4.8,5.2,5.0,5.0,1021.0
42,18.5,16.8,12.6,10.6,63.5,67.0,82.6,90.9,3.4,4.0,4.1,4.1,1018.3
