fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,10.7,11.1,8.9,7.9,88.3,78.9,82.2,83.1,0.5,1.7,1.4,1.4,1019.2
3,10.4,10.6,8.8,8.3,92.9,82.7,82.4,79.9,0.8,1.0,1.1,1.1,1020.4
6,9.7,10.1,8.5,7.9,95.4,86.9,85.1,81.4,1.6,2.9,2.9,2.9,1020.3
9,9.0,9.5,7.9,7.0,96.4,91.3,87.4,85.0,1.6,5.1,5.6,5.6,1020.3
12,9.3,9.1,8.0,7.0,95.3,91.9,83.9,80.4,2.0,4.9,5.7,5.7,1021.3
15,11.9,9.8,7.2,6.1,80.6,88.5,91.7,89.3,3.8,5.4,5.2,5.2,1023.5
18,11.6,10.0,7.2,6.0,79.8,85.2,88.3,86.8,3.0,4.5,6.9,6.9,1022.0
21,10.6,9.8,7.2,6.0,83.2,83.0,86.5,84.6,3.6,6.9,8.5,8.5,1023.5
24,9.9,9.5,7.6,5.9,76.1,71.5,70.8,75.7,3.8,9.0,10.8,10.8,1025.8
27,9.6,8.8,6.6,5.4,55.1,52.6,51.5,55.2,4.8,10.3,10.9,10.9,1027.6
30,6.9,6.7,4.7,4.2,54.7,50.5,53.2,43.9,3.7,9.2,10.2,10.2,1029.1
33,3.8,4.5,3.4,2.9,63.0,50.0,39.9,24.7,3.0,8.0,7.7,7.7,1030.9
36,2.9,2.4,1.9,0.8,62.4,46.3,29.8,27.0,3.0,8.2,8.9,8.9,1033.7
39,7.2,3.7,0.3,-1.3,34.4,38.3,28.8,30.7,4.0,6.2,11.1,11.1,1034.7
42,7.7,4.5,0.4,-1.7,25.4,26.5,33.7,38.3,5.7,8.1,8.5,8.5,1033.8
