fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,12.8,15.2,11.7,10.0,69.3,48.1,56.5,57.6,4.5,6.3,3.1,3.1,1027.7,310,20
3,11.1,13.7,11.2,10.0,74.3,50.1,53.1,49.4,3.4,7.1,2.9,2.9,1028.9,310,23
6,9.5,12.4,10.5,9.5,78.9,51.9,50.4,47.3,2.1,6.6,3.3,3.3,1028.8,311,2
9,8.5,11.3,10.0,9.2,80.8,54.0,43.4,40.7,2.5,7.4,4.7,4.7,1028.6,311,5
12,10.3,10.5,9.2,8.7,75.1,56.4,43.3,32.1,2.4,7.9,5.5,5.5,1030.8,311,8
15,15.8,12.5,8.7,8.4,46.6,51.2,49.1,28.1,3.1,4.9,6.3,6.3,1031.2,311,11
18,17.5,14.7,10.5,8.4,38.1,39.2,48.2,50.5,2.7,4.1,4.6,4.6,1028.8,311,14
21,14.3,14.6,10.5,8.5,52.6,41.6,50.1,53.2,2.1,5.6,5.6,5.6,1028.5,311,17
24,11.2,13.5,9.6,7.6,66.4,48.0,56.6,58.3,2.5,7.8,7.5,7.5,1029.1,311,20
27,9.5,12.5,8.9,6.9,75.4,53.2,61.9,66.1,2.6,7.9,8.6,8.6,1029.6,311,23
30,8.5,11.5,8.6,6.6,82.3,60.1,65.4,70.5,2.4,7.0,7.3,7.3,1029.1,312,2
33,8.0,10.3,8.2,6.3,85.5,67.6,65.3,69.1,2.9,8.4,7.4,7.4,1028.8,312,5
36,10.1,9.6,7.5,6.0,79.4,71.4,68.0,64.1,3.8,9.9,9.3,9.3,1030.6,312,8
39,15.3,12.1,7.8,6.0,52.1,58.3,71.8,65.3,5.0,6.6,7.5,7.5,1030.1,312,11
42,16.8,14.1,9.8,7.7,46.5,49.7,61.9,65.6,3.5,5.0,5.7,5.7,1027.1,312,14
