fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,17.6,17.2,13.9,12.0,66.7,63.5,71.2,78.1,3.7,8.0,10.1,10.1,1022.9,284,20
3,16.6,16.3,13.2,11.3,67.7,64.6,68.2,74.7,3.6,8.2,11.0,11.0,1023.7,284,23
6,15.3,14.9,12.5,10.9,70.0,67.1,68.3,72.4,4.1,9.0,11.0,11.0,1023.0,285,2
9,14.6,14.3,12.6,11.1,71.3,68.4,72.9,79.7,3.6,8.5,12.8,12.8,1022.7,285,5
12,16.1,14.2,12.6,11.3,66.4,69.3,71.2,76.8,4.7,9.0,13.5,13.5,1023.9,285,8
15,20.1,17.4,13.1,11.2,56.7,60.3,74.6,80.7,5.5,7.8,9.4,9.4,1023.3,285,11
18,21.7,19.6,15.2,13.0,52.1,53.2,65.7,73.6,5.7,7.9,9.0,9.0,1020.5,285,14
21,20.1,19.4,15.4,13.3,56.8,53.9,63.6,70.4,4.4,8.1,10.4,10.4,1020.7,285,17
24,17.7,17.3,14.7,13.2,63.8,62.3,69.1,73.6,4.7,9.7,12.7,12.7,1021.4,285,20
27,16.9,16.3,13.7,13.0,70.9,70.6,78.0,74.6,4.0,8.5,12.8,12.8,1022.1,285,23
30,16.4,15.6,14.5,15.0,76.2,77.2,81.1,78.2,3.8,7.9,11.9,11.9,1020.7,286,2
33,16.5,15.5,15.2,15.7,77.6,80.1,86.1,91.5,3.9,7.5,12.4,12.4,1020.3,286,5
36,17.4,15.9,16.3,16.9,75.8,79.6,89.9,96.9,4.1,7.8,13.4,13.4,1021.3,286,8
39,20.2,18.4,17.3,17.9,72.7,77.2,92.5,97.5,4.1,6.2,12.0,12.0,1020.8,286,11
42,22.4,21.0,17.9,17.7,72.9,75.8,91.2,97.7,4.5,6.6,10.4,10.4,1017.8,286,14
