fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,14.3,17.8,14.3,12.7,80.4,55.9,63.4,60.6,1.6,3.5,3.6,3.6,1020.1
3,12.7,16.6,13.8,12.7,84.1,57.0,61.2,51.1,2.0,5.7,4.9,4.9,1021.4
6,11.2,14.8,13.0,12.4,86.7,60.8,58.6,40.9,1.8,6.0,4.9,4.9,1021.2
9,9.9,13.6,12.0,11.7,88.8,65.0,61.1,36.0,1.7,5.6,5.4,5.4,1021.8
12,12.7,13.1,11.6,12.0,81.5,72.5,60.5,25.6,3.7,7.8,7.9,7.9,1023.0
15,18.4,15.9,11.6,12.2,59.0,63.4,72.4,25.5,4.1,6.2,8.6,8.6,1022.4
18,20.3,18.3,13.9,11.8,53.1,54.6,67.4,70.9,4.3,6.1,7.3,7.3,1019.9
21,18.0,18.1,14.2,12.1,65.9,61.2,72.3,79.6,3.4,6.8,8.7,8.7,1019.6
24,15.3,16.9,14.4,12.6,79.0,68.6,73.0,82.0,3.5,7.5,11.6,11.6,1020.3
27,15.1,15.5,14.3,12.7,80.4,75.2,72.8,77.9,4.6,8.9,10.0,10.0,1020.5
30,13.4,13.8,13.6,12.5,88.5,84.6,77.2,78.1,4.0,8.4,9.5,9.5,1020.1
33,12.4,12.7,12.8,11.8,94.3,92.2,81.3,79.4,4.8,8.3,10.2,10.2,1019.8
36,14.3,12.9,12.2,11.4,88.3,93.7,85.7,77.3,4.4,8.3,10.8,10.8,1020.7
39,19.4,17.2,13.1,11.2,66.3,71.0,85.5,91.3,4.5,6.4,7.1,7.1,1020.0
42,21.5,19.9,15.6,13.4,58.0,59.6,73.2,80.9,4.3,5.5,6.7,6.7,1016.7
