fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,6.7,10.1,6.9,5.4,68.1,42.3,46.6,51.7,2.0,1.8,0.5,0.5,1028.1,318,20
3,5.3,9.8,7.0,5.7,75.0,42.6,46.7,53.7,2.4,2.5,2.1,2.1,1029.0,318,23
6,4.0,9.5,7.2,6.1,81.5,42.9,48.8,54.2,1.8,2.1,1.7,1.7,1028.9,319,2
9,3.5,9.0,7.0,6.1,83.4,43.6,51.0,52.7,2.5,4.1,2.0,2.0,1027.9,319,5
12,6.1,8.5,6.7,6.1,74.0,46.6,51.4,50.2,3.3,5.4,3.1,3.1,1029.2,319,8
15,12.8,9.8,7.0,6.8,47.9,51.3,48.6,44.8,2.7,3.9,4.3,4.3,1028.7,319,11
18,15.0,12.5,8.4,7.1,43.3,44.9,54.0,49.2,1.4,2.2,2.3,2.3,1025.8,319,14
21,11.7,12.7,8.9,7.7,59.7,45.7,53.1,47.8,0.4,2.6,2.6,2.6,1025.6,319,17
24,11.0,12.1,8.8,7.5,63.2,46.9,53.1,51.7,2.0,3.2,0.8,0.8,1026.7,319,20
27,10.5,11.3,8.0,6.3,66.7,52.1,61.3,66.2,4.5,5.3,6.7,6.7,1028.2,319,23
30,9.6,9.1,7.0,5.4,82.8,76.9,79.1,77.9,3.3,7.6,10.5,10.5,1028.0,320,2
33,9.0,8.5,6.5,5.1,88.1,84.0,64.5,62.1,4.7,10.8,15.1,15.1,1027.7,320,5
36,9.0,7.8,5.6,4.4,56.5,50.9,37.8,34.0,7.2,13.0,18.4,18.4,1030.2,320,8
39,12.5,9.4,5.1,3.0,34.4,36.9,46.0,50.3,9.0,12.3,13.9,13.9,1030.8,320,11
42,13.2,10.5,6.2,4.1,30.9,31.6,39.7,44.8,7.7,10.0,11.1,11.1,1028.5,320,14
