fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,11.0,13.8,11.5,10.2,66.1,49.2,49.2,48.5,3.7,8.9,5.3,5.3,1021.9
3,10.8,11.7,11.8,10.4,69.0,60.3,49.9,50.2,3.4,6.4,5.7,5.7,1022.6
6,9.9,11.6,11.9,10.3,76.6,61.6,47.9,49.6,2.6,3.5,7.5,7.5,1020.8
9,9.6,11.9,11.2,9.6,78.0,61.0,52.8,56.2,0.4,3.2,8.1,8.1,1019.1
12,11.2,11.8,11.1,9.4,73.7,60.5,48.6,51.4,2.1,5.7,9.0,9.0,1020.1
15,17.5,15.2,11.1,9.4,47.1,49.1,55.3,54.9,4.6,6.3,7.9,7.9,1020.0
18,19.9,18.0,13.6,11.4,39.5,39.0,48.1,53.9,4.9,6.5,7.7,7.7,1017.5
21,19.0,18.9,14.8,12.6,44.7,37.2,42.4,46.7,3.0,5.4,7.3,7.3,1016.4
24,12.1,17.5,15.0,13.2,67.5,42.2,38.8,36.3,2.7,5.5,7.9,7.9,1017.2
27,11.1,15.2,15.2,13.6,72.5,52.7,36.5,31.5,4.7,6.9,9.6,9.6,1017.7
30,9.4,13.3,13.6,12.3,78.2,57.8,41.0,40.2,6.7,6.2,11.1,11.1,1018.7
33,8.4,10.9,11.6,10.6,77.1,61.4,44.8,42.4,6.9,8.7,10.1,10.1,1019.2
36,9.2,7.8,9.9,9.0,71.1,68.9,36.1,28.4,6.5,8.9,11.1,11.1,1022.8
39,14.0,10.9,8.0,7.5,47.4,51.6,31.9,22.6,4.7,5.2,10.9,10.9,1025.5
42,16.4,13.7,9.3,7.2,32.7,32.3,39.9,43.4,4.9,5.4,6.0,6.0,1024.2
