fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,1.9,4.6,2.0,1.6,80.8,63.4,56.1,38.4,1.8,1.5,2.1,2.1,1026.7,10,20
3,0.3,4.3,3.1,3.1,88.1,65.0,43.0,32.5,4.4,5.0,3.4,3.4,1025.7,10,23
6,0.5,4.0,4.7,4.5,89.1,66.8,38.0,30.9,6.2,7.4,4.9,4.9,1024.0,11,2
9,0.1,4.0,5.9,5.1,90.7,65.9,40.3,36.3,5.7,6.8,4.4,4.4,1022.7,11,5
12,0.9,4.9,6.7,5.8,88.3,61.5,39.5,36.6,6.1,6.7,4.0,4.0,1022.9,11,8
15,9.7,7.2,7.9,7.0,58.0,60.5,35.9,34.3,3.9,5.0,4.3,4.3,1022.8,11,11
18,14.2,12.4,9.4,8.6,42.0,42.9,36.4,31.9,4.6,4.8,5.4,5.4,1019.3,11,14
21,10.9,12.7,10.7,9.6,57.8,44.8,38.5,37.8,6.1,6.7,4.9,4.9,1018.6,11,17
24,7.0,11.2,11.3,10.0,69.6,50.2,40.6,39.7,6.8,7.4,5.1,5.1,1019.2,11,20
27,5.2,10.5,11.4,10.4,76.4,51.1,37.2,33.2,4.9,6.2,6.0,6.0,1019.5,11,23
30,3.6,9.8,11.3,10.1,79.9,50.8,36.6,37.3,2.6,3.7,7.5,7.5,1019.5,12,2
33,3.6,9.1,10.8,9.6,79.0,52.7,40.7,43.6,0.3,1.8,7.1,7.1,1019.2,12,5
36,3.3,9.1,10.3,9.2,82.7,52.6,44.8,48.3,0.3,0.9,5.7,5.7,1020.9,12,8
39,12.4,10.4,10.3,9.2,54.8,55.1,45.9,49.1,1.1,1.4,4.3,4.3,1021.5,12,11
42,16.1,14.4,10.7,9.8,44.9,46.1,50.0,48.4,0.6,0.7,3.6,3.6,1019.1,12,14
