fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,4.0,9.4,6.7,5.1,62.9,37.6,36.2,35.9,2.8,7.5,4.7,4.7,1025.0,18,20
3,2.3,8.5,6.6,5.0,72.6,40.7,29.1,28.7,2.3,7.0,7.2,7.2,1025.3,18,23
6,1.1,7.1,6.0,4.7,77.5,45.4,32.4,26.0,2.7,7.6,9.5,9.5,1025.6,19,2
9,0.4,5.5,5.4,4.2,76.2,45.6,34.1,29.1,2.5,7.3,9.5,9.5,1025.4,19,5
12,1.0,3.4,5.7,4.7,67.2,46.9,27.1,21.5,3.5,9.3,9.9,9.9,1025.8,19,8
15,8.9,6.2,6.1,5.2,39.8,42.1,24.4,20.2,4.5,7.0,10.5,10.5,1025.9,19,11
18,12.8,10.6,6.5,5.2,30.4,30.1,35.4,28.9,4.8,6.5,7.6,7.6,1023.5,19,14
21,10.4,11.1,7.4,5.8,38.7,31.0,34.5,32.8,3.8,8.8,9.9,9.9,1023.1,19,17
24,6.6,7.9,7.7,6.7,47.8,40.6,31.9,31.7,5.3,11.9,13.4,13.4,1023.9,19,20
27,4.8,6.2,8.4,7.5,60.6,53.7,29.9,28.6,5.4,12.0,13.2,13.2,1023.5,19,23
30,3.0,5.5,8.9,8.3,79.8,64.2,26.7,24.9,3.4,8.9,9.1,9.1,1023.2,20,2
33,1.8,5.1,9.0,8.6,87.8,67.7,30.2,28.2,2.7,7.6,7.2,7.2,1022.2,20,5
36,2.5,5.3,9.3,8.7,86.3,66.4,34.0,34.4,3.0,7.0,6.6,6.6,1023.1,20,8
39,10.5,8.2,9.6,8.9,56.1,60.6,39.1,40.5,3.0,4.3,6.9,6.9,1023.2,20,11
42,14.8,13.0,9.7,9.2,44.3,45.9,49.3,45.9,2.8,3.7,6.0,6.0,1020.2,20,14
