fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,14.4,16.1,12.8,10.8,52.3,37.9,42.2,46.9,4.2,7.7,7.3,7.3,1027.0
3,12.6,14.8,11.8,9.8,57.9,37.3,38.2,42.6,4.3,7.2,8.1,8.1,1027.7
6,11.0,12.7,10.7,8.8,58.3,40.2,31.8,35.1,6.3,9.8,8.6,8.6,1027.3
9,9.3,10.3,9.0,7.4,60.5,47.3,30.5,31.5,5.2,8.8,7.6,7.6,1027.7
12,10.8,8.9,7.7,6.4,57.4,51.9,30.3,31.5,4.3,8.3,6.5,6.5,1028.9
15,15.5,12.2,7.9,6.2,33.5,35.5,41.6,35.6,3.0,3.5,4.3,4.3,1028.7
18,17.5,14.7,10.3,8.2,30.0,30.4,37.6,41.1,3.1,3.2,3.7,3.7,1025.9
21,15.4,15.1,10.9,8.8,45.9,33.5,41.1,45.1,2.6,3.5,3.8,3.8,1025.3
24,11.3,14.4,10.5,8.4,61.2,39.6,48.3,53.1,2.5,4.4,4.6,4.6,1026.1
27,9.9,13.6,10.1,8.1,69.6,45.0,53.8,58.6,1.9,4.6,4.4,4.4,1026.6
30,8.6,13.1,9.8,7.8,77.8,47.3,55.6,57.5,2.4,5.1,3.6,3.6,1026.6
33,8.0,11.9,9.3,7.5,81.4,54.1,57.5,59.7,2.7,7.5,4.6,4.6,1026.3
36,11.3,11.1,8.9,7.2,72.6,62.7,61.6,60.7,2.7,7.2,6.8,6.8,1028.0
39,17.2,13.9,9.6,8.0,47.4,53.0,65.3,54.0,3.7,5.0,5.6,5.6,1028.1
42,19.3,16.5,12.1,10.0,39.3,41.7,51.5,53.3,3.0,4.7,5.6,5.6,1025.2
