fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,13.0,17.5,14.0,12.1,72.0,45.8,53.4,56.2,2.2,5.2,4.5,4.5,1018.6
3,11.2,16.6,13.6,11.9,78.9,48.7,53.2,52.8,2.8,5.5,5.3,5.3,1019.8
6,9.6,15.5,13.3,11.8,84.8,53.6,52.4,51.5,2.9,5.7,5.0,5.0,1019.6
9,8.6,14.8,13.0,11.6,87.3,57.4,51.6,49.9,2.2,4.7,4.7,4.7,1020.3
12,13.1,14.8,12.9,11.4,77.0,56.6,49.3,47.3,2.0,4.7,6.2,6.2,1022.2
15,19.7,17.2,13.1,11.3,49.3,49.5,58.3,56.5,4.1,5.6,7.6,7.6,1022.7
18,21.3,19.3,15.0,12.8,44.3,42.8,52.2,58.3,4.9,6.5,7.5,7.5,1019.6
21,20.0,19.6,15.5,13.3,53.2,45.9,53.3,59.3,3.7,6.7,8.5,8.5,1018.4
24,15.5,17.6,15.4,13.6,65.3,52.8,51.9,56.8,3.7,9.0,12.0,12.0,1018.6
27,14.0,15.5,15.6,14.2,67.4,58.0,48.2,51.2,5.0,10.4,14.0,14.0,1018.6
30,12.1,13.7,15.5,14.3,68.5,59.2,48.1,50.1,4.2,8.9,11.0,11.0,1017.2
33,10.6,12.4,15.5,14.7,72.2,62.2,51.2,53.1,2.9,6.7,8.6,8.6,1015.8
36,13.4,12.7,15.5,14.8,69.2,66.1,52.9,56.0,3.4,5.7,8.9,8.9,1016.6
39,20.4,18.6,15.6,15.2,55.4,55.5,57.3,56.4,4.0,5.1,10.5,10.5,1015.1
42,23.4,22.1,17.7,15.6,51.0,49.5,60.0,66.0,4.3,5.5,7.7,7.7,1011.4
