fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,16.1,17.5,15.2,13.9,71.7,61.6,59.4,60.7,1.4,2.2,6.9,6.9,1020.4
3,14.0,13.4,11.4,11.5,54.4,54.8,66.1,68.8,9.1,11.6,13.6,13.6,1023.5
6,11.2,10.1,8.3,8.4,62.4,65.0,68.9,72.4,8.9,10.4,14.0,14.0,1025.2
9,9.4,8.4,7.9,8.1,62.4,62.7,56.4,53.3,7.5,10.1,14.2,14.2,1027.0
12,10.0,7.7,5.6,5.5,51.7,56.3,53.2,46.3,7.8,11.2,17.3,17.3,1030.2
15,13.4,9.7,5.4,3.3,37.3,43.7,55.5,61.2,7.8,8.5,9.4,9.4,1031.7
18,15.2,11.6,7.3,5.1,29.1,33.1,42.1,47.8,8.2,8.7,9.1,9.1,1030.0
21,13.4,11.2,7.0,4.9,21.6,22.2,28.2,31.9,7.2,7.7,8.1,8.1,1030.3
24,8.7,9.2,5.4,3.3,28.0,19.7,22.1,23.7,6.2,7.9,7.3,7.3,1031.7
27,7.1,7.9,4.5,2.8,31.9,18.8,18.8,17.9,5.5,7.9,7.3,7.3,1032.5
30,4.7,7.0,4.0,2.6,43.6,18.9,16.8,16.0,3.3,5.4,3.8,3.8,1031.1
33,3.3,6.6,3.9,2.9,51.3,19.9,17.0,14.8,2.0,3.5,1.8,1.8,1029.0
36,6.2,6.0,3.9,3.4,45.8,27.8,18.1,13.8,3.2,4.6,4.5,4.5,1028.9
39,12.9,9.5,5.2,5.1,23.6,25.9,29.4,13.4,4.9,5.0,5.5,5.5,1026.9
42,16.5,13.5,9.2,7.2,20.4,21.4,26.1,25.8,5.0,5.3,6.0,6.0,1022.1
